type,category,date,index
output,crop_products,2025-11-01,118.38310355227446
output,cereals,2025-11-01,106.77529362030957
output,wheat,2025-11-01,103.70412427508896
output,wheat_breadmaking,2025-11-01,100.41400400031945
output,wheat_other_milling,2025-11-01,104.88076247634075
output,wheat_feeding,2025-11-01,104.09598838951008
output,barley,2025-11-01,112.2583740073598
output,barley_feeding,2025-11-01,112.59365627690643
output,barley_malting,2025-11-01,111.9947431769682
output,oats,2025-11-01,98.87855533095345
output,oats_milling,2025-11-01,98.64282207424951
output,oats_feeding,2025-11-01,102.05251561376782
output,industrial_crops,2025-11-01,128.7800368222902
output,oilseed_rape,2025-11-01,124.83449627820463
output,sugar_beet,2025-11-01,165.4520871824276
output,forage_plants,2025-11-01,134.84016790442365
output,straw,2025-11-01,134.84016790442365
output,fresh_vegetables,2025-11-01,117.48197822769247
output,cauliflowers,2025-11-01,94.20348651997412
output,tomatoes,2025-11-01,133.5819978699296
output,cabbages,2025-11-01,116.43833760379027
output,lettuce,2025-11-01,119.16825933982693
output,carrots,2025-11-01,106.27106062021696
output,onions,2025-11-01,114.5028915465111
output,beans_green,2025-11-01,101.05616828625266
output,mushrooms,2025-11-01,116.70907456961963
output,flowers_and_plants,2025-11-01,115.72517872857307
output,potatoes,2025-11-01,160.0211293024257
output,fresh_fruit,2025-11-01,115.8856911272617
output,dessert_apples,2025-11-01,107.1949795622889
output,dessert_pears,2025-11-01,116.32357922485646
output,strawberries,2025-11-01,156.4435623030157
output,cooking_apples,2025-11-01,89.01723577510316
output,raspberries,2025-11-01,152.58319813920255
output,other_crop_products,2025-11-01,99.99999999644285
output,animals_and_animal_products,2025-11-01,150.9728774106206
output,animals_for_slaughter_export,2025-11-01,149.9339636156044
output,cattle_and_calves,2025-11-01,201.3548303692325
output,cattle_clean,2025-11-01,197.15781287787587
output,cows_and_bulls,2025-11-01,216.54672186179252
output,calves,2025-11-01,224.87258766112163
output,pigs,2025-11-01,124.04330015237082
output,pigs_clean,2025-11-01,124.75259260396044
output,sows_and_boars,2025-11-01,88.41899508827986
output,sheep_and_lambs,2025-11-01,147.45961184096026
output,sheep_and_lambs_clean,2025-11-01,145.57746346806906
output,ewes_and_rams,2025-11-01,171.65111387226483
output,all_poultry,2025-11-01,100.99455671685502
output,chickens,2025-11-01,101.1634052785499
output,turkeys,2025-11-01,100
output,animal_products,2025-11-01,152.71255497577343
output,milk,2025-11-01,150.03472877828352
output,eggs,2025-11-01,174.95218309054133
output,intensive_eggs,2025-11-01,166.83745021744747
output,free_range_eggs,2025-11-01,178.53262829925248
output,wool_clip,2025-11-01,169.0322580645161
output,all_agricultural_outputs,2025-11-01,139.24009162551502
input,all_goods_and_services_currently_consumed_in_agriculture,2025-11-01,126.70867840600431
input,seeds_input,2025-11-01,105.0537662019676
input,energy_and_lubricants,2025-11-01,145.75594791799963
input,electricity,2025-11-01,156.23335109216836
input,fuels_for_heating,2025-11-01,164.39643024894315
input,motor_fuels,2025-11-01,139.0856213263225
input,fertilisers_and_soil_improvers,2025-11-01,173.88183880840742
input,straight_fertilisers,2025-11-01,171.61852122965934
input,straight_fertilisers_nitrogenous,2025-11-01,173.25125800163534
input,straight_fertilisers_phosphatic,2025-11-01,202.92884036389412
input,straight_fertilisers_potassic,2025-11-01,143.162808276173
input,compound_fertilisers,2025-11-01,194.8494420126581
input,other_fertilisers_and_soil_improvers,2025-11-01,116.3430067641283
input,plant_protection_products,2025-11-01,107.11087567031034
input,fungicides,2025-11-01,87.4719615283413
input,insecticides,2025-11-01,114.97112376139201
input,herbicides,2025-11-01,114.80153657752388
input,other_plant_protection_products,2025-11-01,149.34688458645311
input,veterinary_services,2025-11-01,119.88292320111677
input,animal_feedingstuffs,2025-11-01,119.06136308349716
input,straight_feedingstuffs,2025-11-01,108.1219065897627
input,cereal_and_milling_by_products,2025-11-01,105.64444729184551
input,oilcakes,2025-11-01,99.9324239452846
input,soya_bean_meal,2025-11-01,99.61931659234637
input,sunflower_seed_meal,2025-11-01,97.13869772803919
input,rape_seed_meal,2025-11-01,98.49686097027711
input,products_of_animal_origin_including_white_fish_meal,2025-11-01,115.66935463715919
input,other_straights,2025-11-01,113.87818636220624
input,field_peas,2025-11-01,100.45842575645464
input,field_beans,2025-11-01,97.55251020938799
input,soya_beans,2025-11-01,99.68453997793438
input,compound_feedingstuffs,2025-11-01,123.5060815975543
input,compound_feedingstuffs_for_cattle_and_calves,2025-11-01,125.91237549479844
input,compound_feedingstuffs_for_pigs,2025-11-01,116.99044700443507
input,compound_feedingstuffs_for_poultry,2025-11-01,123.26483812191373
input,compound_feedingstuffs_for_sheep,2025-11-01,129.9911115519845
input,maintenance_of_materials,2025-11-01,136.03583358283586
input,maintenance_of_buildings,2025-11-01,139.44790739091718
input,other_goods_and_services,2025-11-01,123.50744823267091
input,goods_and_services_contributing_to_investment,2025-11-01,132.23582844764684
input,materials,2025-11-01,127.61580017542185
input,machinery_and_other_equipment,2025-11-01,134.869607827801
input,plant_and_machinery_for_cultivation,2025-11-01,130.07518796992477
input,farm_machinery_and_installations,2025-11-01,152.5529812584048
input,transport_equipment,2025-11-01,121.83479998526563
input,tractors,2025-11-01,122.06864419940982
input,other_vehicles,2025-11-01,120.87748505091537
input,buildings,2025-11-01,142.15343156269947
input,all_agricultural_inputs,2025-11-01,127.71313486474936
output,crop_products,2025-10-01,119.74241502543603
output,cereals,2025-10-01,104.62276992464943
output,wheat,2025-10-01,101.31527937009636
output,wheat_breadmaking,2025-10-01,97.79844611867937
output,wheat_other_milling,2025-10-01,102.2454870209075
output,wheat_feeding,2025-10-01,101.85070510290382
output,barley,2025-10-01,110.3346430918075
output,barley_feeding,2025-10-01,109.5748157113073
output,barley_malting,2025-10-01,112.36891218016741
output,oats,2025-10-01,104.79767043110982
output,oats_milling,2025-10-01,104.4877571498439
output,oats_feeding,2025-10-01,107.51717878176812
output,industrial_crops,2025-10-01,126.74380358735435
output,oilseed_rape,2025-10-01,120.88837565269858
output,sugar_beet,2025-10-01,165.4520871824276
output,forage_plants,2025-10-01,134.92319756446332
output,straw,2025-10-01,134.92319756446332
output,fresh_vegetables,2025-10-01,120.51088520597794
output,cauliflowers,2025-10-01,109.15697191993871
output,tomatoes,2025-10-01,131.60166935400213
output,cabbages,2025-10-01,118.52916440950106
output,lettuce,2025-10-01,124.57294386493284
output,carrots,2025-10-01,103.40505120354153
output,onions,2025-10-01,121.41001661105177
output,beans_green,2025-10-01,103.90539285968678
output,mushrooms,2025-10-01,116.70907456961963
output,flowers_and_plants,2025-10-01,115.72517872857307
output,potatoes,2025-10-01,177.8552637507111
output,fresh_fruit,2025-10-01,117.91396220701354
output,dessert_apples,2025-10-01,122.53192457185844
output,dessert_pears,2025-10-01,120.91596700221233
output,strawberries,2025-10-01,106.64512158834157
output,cooking_apples,2025-10-01,85.39264363813103
output,raspberries,2025-10-01,153.75608002162505
output,other_crop_products,2025-10-01,99.99999999644285
output,animals_and_animal_products,2025-10-01,150.32030370894643
output,animals_for_slaughter_export,2025-10-01,145.55518545764286
output,cattle_and_calves,2025-10-01,197.58054577880287
output,cattle_clean,2025-10-01,192.44323047100204
output,cows_and_bulls,2025-10-01,218.5022797325625
output,calves,2025-10-01,203.35197613602375
output,pigs,2025-10-01,126.26536867996553
output,pigs_clean,2025-10-01,126.87003235675401
