date,display_name,price
2015-03-27,Asparagus,12.045714285714286
2015-04-03,Asparagus,13.295238095238096
2015-04-10,Asparagus,11.71219512195122
2015-04-17,Asparagus,9.517052631578947
2015-04-24,Asparagus,7.117590361445783
2015-05-01,Asparagus,6.7320851063829785
2015-05-08,Asparagus,5.768510638297872
2015-05-15,Asparagus,5.5826
2015-05-22,Asparagus,5.358064516129032
2015-05-29,Asparagus,5.508314606741573
2015-06-05,Asparagus,5.018556701030928
2015-06-12,Asparagus,5.085806451612903
2015-06-19,Asparagus,4.89493670886076
2015-06-26,Asparagus,4.947027027027027
2015-07-03,Asparagus,7.37
2015-07-10,Asparagus,6.72
2015-07-17,Asparagus,8.0
2016-02-12,Asparagus,12.8
2016-02-19,Asparagus,14.64
2016-02-26,Asparagus,14.64
2016-03-11,Asparagus,15.5
2016-03-25,Asparagus,15.5
2016-04-01,Asparagus,15.66
2016-04-08,Asparagus,9.715555555555556
2016-04-15,Asparagus,8.863024390243902
2016-04-22,Asparagus,8.226909090909091
2016-04-29,Asparagus,8.86622950819672
2016-05-06,Asparagus,8.00237037037037
2016-05-13,Asparagus,7.973333333333334
2016-05-20,Asparagus,6.678019801980198
2016-05-27,Asparagus,6.004912280701754
2016-06-03,Asparagus,4.9502803738317755
2016-06-10,Asparagus,5.1232164948453605
2016-06-17,Asparagus,5.080989690721649
2016-06-24,Asparagus,5.388860759493671
2016-07-01,Asparagus,5.661538461538462
2016-07-08,Asparagus,7.44
2017-03-17,Asparagus,14.64
2017-03-24,Asparagus,15.66
2017-03-31,Asparagus,10.763
2017-04-07,Asparagus,8.758032786885247
2017-04-14,Asparagus,7.894235294117648
2017-04-21,Asparagus,7.491234042553192
2017-04-28,Asparagus,7.1226666666666665
2017-05-05,Asparagus,6.092765957446809
2017-05-12,Asparagus,6.391351351351351
2017-05-19,Asparagus,6.017142857142857
2017-05-26,Asparagus,5.945523809523809
2017-06-02,Asparagus,6.315
2017-06-09,Asparagus,6.676571428571428
2017-06-16,Asparagus,6.392827586206897
2017-06-23,Asparagus,8.643720930232558
2017-06-30,Asparagus,9.16
2017-07-14,Asparagus,12.0
2018-03-30,Asparagus,14.67
2018-04-06,Asparagus,16.0
2018-04-13,Asparagus,11.83
2018-04-20,Asparagus,8.48
2018-04-27,Asparagus,7.81
2018-05-04,Asparagus,5.83
2018-05-11,Asparagus,5.37
2018-05-18,Asparagus,5.09
2018-05-25,Asparagus,5.53
2018-06-01,Asparagus,3.89
2018-06-08,Asparagus,4.3
2018-06-15,Asparagus,6.22
2018-06-22,Asparagus,6.74
2019-03-08,Asparagus,14.66
2019-03-22,Asparagus,15.0
2019-03-29,Asparagus,12.75
2019-04-05,Asparagus,10.99
2019-04-12,Asparagus,9.66
2019-04-19,Asparagus,9.9
2019-04-26,Asparagus,7.76
2019-05-03,Asparagus,6.86
2019-05-10,Asparagus,5.0
2019-05-17,Asparagus,4.14
2019-05-24,Asparagus,4.16
2019-05-31,Asparagus,4.01
2019-06-07,Asparagus,4.29
2019-06-14,Asparagus,5.44
2019-06-21,Asparagus,7.21
2019-06-28,Asparagus,3.5
2019-07-05,Asparagus,13.0
2020-03-20,Asparagus,16.0
2020-03-27,Asparagus,15.18
2020-04-03,Asparagus,6.97
2020-04-10,Asparagus,8.04
2020-04-17,Asparagus,7.74
2020-04-24,Asparagus,5.98
2020-05-01,Asparagus,6.19
2020-05-08,Asparagus,5.35
2020-05-15,Asparagus,5.21
2020-05-22,Asparagus,4.72
2020-05-29,Asparagus,5.41
2020-06-05,Asparagus,8.23
2020-06-12,Asparagus,9.69
2020-06-19,Asparagus,9.65
2020-06-26,Asparagus,8.83
2020-07-03,Asparagus,10.0
2021-03-12,Asparagus,16.96
2021-03-19,Asparagus,15.05
2021-03-26,Asparagus,15.29
2021-04-02,Asparagus,14.94
2021-04-09,Asparagus,12.2
2021-04-16,Asparagus,11.73
2021-04-23,Asparagus,10.21
2021-04-30,Asparagus,10.15
2021-05-07,Asparagus,10.1
2021-05-14,Asparagus,8.98
2021-05-21,Asparagus,8.1
2021-05-28,Asparagus,6.85
2021-06-04,Asparagus,7.27
2021-06-11,Asparagus,6.87
2021-06-18,Asparagus,6.92
2021-06-25,Asparagus,7.89
