variable,adf_stat,p_value,stationary,commodity
target_price,-5.1308,0.01,TRUE,Beetroot
api_energy_and_lubricants,-1.2899,0.878,FALSE,Beetroot
api_fertilisers_and_soil_improvers,-1.6675,0.7183,FALSE,Beetroot
api_plant_protection_products,-1.9541,0.5971,FALSE,Beetroot
api_fresh_fruit,-3.4028,0.0533,FALSE,Beetroot
api_fresh_vegetables,-2.2628,0.4667,FALSE,Beetroot
fuel_petrol_price,-2.8704,0.2098,FALSE,Beetroot
fuel_diesel_price,-2.8873,0.2026,FALSE,Beetroot
sppi_road_freight,-1.7591,0.6792,FALSE,Beetroot
target_price,-3.6315,0.0298,TRUE,Bulb Onions (Red)
api_energy_and_lubricants,-1.2792,0.8822,FALSE,Bulb Onions (Red)
api_fertilisers_and_soil_improvers,-1.6531,0.7242,FALSE,Bulb Onions (Red)
api_plant_protection_products,-1.9595,0.5947,FALSE,Bulb Onions (Red)
api_fresh_fruit,-3.3405,0.0641,FALSE,Bulb Onions (Red)
api_fresh_vegetables,-2.2467,0.4733,FALSE,Bulb Onions (Red)
fuel_petrol_price,-2.817,0.2323,FALSE,Bulb Onions (Red)
fuel_diesel_price,-2.8481,0.2191,FALSE,Bulb Onions (Red)
sppi_road_freight,-1.7681,0.6751,FALSE,Bulb Onions (Red)
target_price,-3.6746,0.0257,TRUE,Bulb Onions (Yellow)
api_energy_and_lubricants,-1.2808,0.8817,FALSE,Bulb Onions (Yellow)
api_fertilisers_and_soil_improvers,-1.6554,0.7233,FALSE,Bulb Onions (Yellow)
api_plant_protection_products,-1.965,0.5925,FALSE,Bulb Onions (Yellow)
api_fresh_fruit,-3.3831,0.0567,FALSE,Bulb Onions (Yellow)
api_fresh_vegetables,-2.268,0.4644,FALSE,Bulb Onions (Yellow)
fuel_petrol_price,-2.8555,0.216,FALSE,Bulb Onions (Yellow)
fuel_diesel_price,-2.8783,0.2064,FALSE,Bulb Onions (Yellow)
sppi_road_freight,-1.7647,0.6767,FALSE,Bulb Onions (Yellow)
target_price,-4.8043,0.01,TRUE,Cabbage
api_energy_and_lubricants,-1.279,0.8826,FALSE,Cabbage
api_fertilisers_and_soil_improvers,-1.6557,0.7233,FALSE,Cabbage
api_plant_protection_products,-1.9486,0.5995,FALSE,Cabbage
api_fresh_fruit,-3.4028,0.0533,FALSE,Cabbage
api_fresh_vegetables,-2.2663,0.4652,FALSE,Cabbage
fuel_petrol_price,-2.8675,0.211,FALSE,Cabbage
fuel_diesel_price,-2.8742,0.2082,FALSE,Cabbage
sppi_road_freight,-1.7619,0.678,FALSE,Cabbage
target_price,-4.5808,0.01,TRUE,Carrots
api_energy_and_lubricants,-1.2737,0.8847,FALSE,Carrots
api_fertilisers_and_soil_improvers,-1.6498,0.7257,FALSE,Carrots
api_plant_protection_products,-1.9527,0.5977,FALSE,Carrots
api_fresh_fruit,-3.4188,0.0506,FALSE,Carrots
api_fresh_vegetables,-2.2546,0.4701,FALSE,Carrots
fuel_petrol_price,-2.8525,0.2173,FALSE,Carrots
fuel_diesel_price,-2.8724,0.2089,FALSE,Carrots
sppi_road_freight,-1.7652,0.6765,FALSE,Carrots
target_price,-3.7099,0.0236,TRUE,Cooking Apples
api_energy_and_lubricants,-1.2899,0.878,FALSE,Cooking Apples
api_fertilisers_and_soil_improvers,-1.6675,0.7183,FALSE,Cooking Apples
api_plant_protection_products,-1.9541,0.5971,FALSE,Cooking Apples
api_fresh_fruit,-3.4028,0.0533,FALSE,Cooking Apples
api_fresh_vegetables,-2.2628,0.4667,FALSE,Cooking Apples
fuel_petrol_price,-2.8704,0.2098,FALSE,Cooking Apples
fuel_diesel_price,-2.8873,0.2026,FALSE,Cooking Apples
sppi_road_freight,-1.7591,0.6792,FALSE,Cooking Apples
target_price,-4.1607,0.01,TRUE,Leeks
api_energy_and_lubricants,-1.3138,0.8675,FALSE,Leeks
api_fertilisers_and_soil_improvers,-1.7097,0.7002,FALSE,Leeks
api_plant_protection_products,-1.9963,0.5791,FALSE,Leeks
api_fresh_fruit,-3.6104,0.032,TRUE,Leeks
api_fresh_vegetables,-2.2259,0.4821,FALSE,Leeks
fuel_petrol_price,-2.8494,0.2186,FALSE,Leeks
fuel_diesel_price,-2.8967,0.1986,FALSE,Leeks
sppi_road_freight,-1.7414,0.6864,FALSE,Leeks
target_price,-5.4341,0.01,TRUE,Lettuce
api_energy_and_lubricants,-1.3008,0.8733,FALSE,Lettuce
api_fertilisers_and_soil_improvers,-1.6795,0.7132,FALSE,Lettuce
api_plant_protection_products,-1.9596,0.5948,FALSE,Lettuce
api_fresh_fruit,-3.4028,0.0533,FALSE,Lettuce
api_fresh_vegetables,-2.2592,0.4682,FALSE,Lettuce
fuel_petrol_price,-2.9676,0.1687,FALSE,Lettuce
fuel_diesel_price,-2.9493,0.1764,FALSE,Lettuce
sppi_road_freight,-1.7583,0.6795,FALSE,Lettuce
target_price,-5.4844,0.01,TRUE,Pears
api_energy_and_lubricants,-1.3646,0.8447,FALSE,Pears
