model,RMSE,MAE,MASE,sMAPE,MAPE,AIC,BIC
Beetroot — auto.arima,0.0744,0.0529,2.7978,7.1982,6.7706,-1853.25,-1828.66
"Beetroot — ARIMA(1,1,1)",0.0804,0.0601,3.1816,8.2602,7.7434,-1844.93,-1832.64
"Beetroot — SARIMA(1,1,1)(1,1,1)[52]",0.0737,0.0505,2.6752,6.8538,6.4814,-1514.04,-1494.17
Bulb Onions (Red) — auto.arima,0.1019,0.0629,1.511,8.7837,9.0886,-986.82,-970.61
"Bulb Onions (Red) — ARIMA(1,1,1)",0.1209,0.086,2.0669,12.1927,11.5256,-985.24,-973.08
Bulb Onions (Yellow) — auto.arima,0.0574,0.0453,1.1897,8.3285,8.019,-1094.05,-1077.72
"Bulb Onions (Yellow) — ARIMA(1,1,1)",0.055,0.0454,1.1929,8.3484,8.165,-1091.35,-1079.11
"Bulb Onions (Yellow) — SARIMA(1,1,1)(1,1,1)[52]",0.1409,0.1122,2.9497,18.5607,21.6211,-844.14,-824.36
Cabbage — auto.arima,0.1245,0.0886,4.1137,13.1215,11.7553,-1791.42,-1770.91
"Cabbage — ARIMA(1,1,1)",0.1218,0.0853,3.9612,12.5732,11.2773,-1774.66,-1762.36
Carrots — auto.arima,0.0835,0.0642,3.3606,12.3467,11.386,-1729.43,-1704.95
"Carrots — ARIMA(1,1,1)",0.0837,0.0644,3.3684,12.3777,11.402,-1717.47,-1705.23
"Carrots — SARIMA(1,1,1)(1,1,1)[52]",0.1068,0.0848,4.4389,14.8669,15.717,-1401.94,-1382.17
Cooking Apples — auto.arima,0.0879,0.0746,1.0952,5.6329,5.4995,-421.06,-412.87
"Cooking Apples — ARIMA(1,1,1)",0.088,0.0747,1.0965,5.6399,5.5051,-419.13,-406.84
"Cooking Apples — SARIMA(1,1,1)(1,1,1)[52]",0.1849,0.1486,2.1801,10.8423,11.547,-271.75,-251.88
Leeks — auto.arima,0.1112,0.0817,1.3235,5.2509,5.2792,-582.4,-566.2
"Leeks — ARIMA(1,1,1)",0.1112,0.0819,1.3264,5.2621,5.2935,-567.11,-554.96
"Leeks — SARIMA(1,1,1)(1,1,1)[52]",0.1432,0.1185,1.9188,7.5516,7.8324,-366.84,-347.24
Lettuce — auto.arima,0.0452,0.036,1.5777,5.2655,5.2413,-1721.47,-1705.09
"Lettuce — ARIMA(1,1,1)",0.0452,0.0363,1.5896,5.3053,5.278,-1717.15,-1704.86
"Lettuce — SARIMA(1,1,1)(1,1,1)[52]",0.0605,0.0505,2.212,7.3074,7.6522,-1401.39,-1381.53
Pears — auto.arima,0.1959,0.1465,1.3999,13.4617,13.874,-303.67,-280.71
"Pears — ARIMA(1,1,1)",0.2183,0.1831,1.7489,17.0001,16.1844,-285.57,-274.1
Dessert Apples — auto.arima,0.0931,0.0745,1.1081,5.7935,5.6319,-777.86,-761.81
"Dessert Apples — ARIMA(1,1,1)",0.0962,0.0771,1.1474,6.0058,5.8171,-770.29,-758.25
"Dessert Apples — SARIMA(1,1,1)(1,1,1)[52]",0.1075,0.0884,1.3157,6.9119,6.8144,-571.65,-552.26
Cucumbers — auto.arima,0.2792,0.2494,1.9761,23.9135,28.0013,-109.29,-86.3
"Cucumbers — ARIMA(1,1,1)",0.2791,0.2473,1.9596,23.7295,27.8674,-101.48,-89.98
"Cucumbers — SARIMA(1,1,1)(1,1,1)[52]",0.3228,0.2788,2.2091,25.9622,31.4052,13.02,31.35
Strawberries — auto.arima,1.9464,1.3115,1.3516,23.2393,19.9225,1017.81,1039.73
