model,resid_mean,resid_sd,ljung_box_lag10_p,ljung_box_lag20_p,normality_test,normality_p,autocorr_ok,normality_ok
Beetroot — Full xreg,0.002657,0.0288,0.539,0.8146,Shapiro-Wilk,0,TRUE,FALSE
Beetroot — Dummies only,0.002367,0.0296,0.1633,0.3917,Shapiro-Wilk,0,TRUE,FALSE
Bulb Onions (Red) — Full xreg,0.002906,0.074,0.8783,0.9939,Shapiro-Wilk,0,TRUE,FALSE
Bulb Onions (Red) — Dummies only,0.004753,0.0748,0.8293,0.9805,Shapiro-Wilk,0,TRUE,FALSE
Bulb Onions (Yellow) — Full xreg,5.88e-4,0.0685,0.9184,0.4153,Shapiro-Wilk,0,TRUE,FALSE
Bulb Onions (Yellow) — Dummies only,4.93e-4,0.0686,0.9351,0.485,Shapiro-Wilk,0,TRUE,FALSE
Cabbage — Full xreg,3.09e-4,0.0318,0.9725,0.9516,Shapiro-Wilk,0,TRUE,FALSE
Cabbage — Dummies only,2.37e-4,0.0321,0.9882,0.9764,Shapiro-Wilk,0,TRUE,FALSE
Carrots — Full xreg,4.42e-4,0.0327,0.9992,0.6759,Shapiro-Wilk,0,TRUE,FALSE
Carrots — Dummies only,2.67e-4,0.0329,0.9971,0.5748,Shapiro-Wilk,0,TRUE,FALSE
Cooking Apples — Full xreg,0.00151,0.1498,0.7282,0.8194,Shapiro-Wilk,0,TRUE,FALSE
Cooking Apples — Dummies only,0.001476,0.1499,0.7394,0.851,Shapiro-Wilk,0,TRUE,FALSE
Leeks — Full xreg,0.002814,0.1197,0.8573,0.9637,Shapiro-Wilk,0,TRUE,FALSE
Leeks — Dummies only,0.002809,0.1205,0.868,0.9587,Shapiro-Wilk,0,TRUE,FALSE
Lettuce — Full xreg,0.001019,0.0337,0.6215,0.8115,Shapiro-Wilk,0,TRUE,FALSE
Lettuce — Dummies only,0.002276,0.0343,0.5616,0.7423,Shapiro-Wilk,0,TRUE,FALSE
Pears — Full xreg,0.009172,0.1485,0.9338,0.9906,Shapiro-Wilk,0,TRUE,FALSE
Pears — Dummies only,0.009842,0.1504,0.924,0.974,Shapiro-Wilk,0,TRUE,FALSE
Dessert Apples — Full xreg,0.001625,0.0898,0.3729,0.2758,Shapiro-Wilk,0,TRUE,FALSE
Dessert Apples — Dummies only,0.007184,0.0918,0.4178,0.362,Shapiro-Wilk,0,TRUE,FALSE
Cucumbers — Full xreg,-0.001763,0.1949,0.7328,0.9822,Shapiro-Wilk,0,TRUE,FALSE
Cucumbers — Dummies only,0.011296,0.1995,0.95,0.9992,Shapiro-Wilk,0,TRUE,FALSE
Strawberries — Full xreg,-0.011341,1.367,0.993,0.5148,Shapiro-Wilk,0,TRUE,FALSE
Strawberries — Dummies only,0.09377,1.4054,0.9356,0.5012,Shapiro-Wilk,0,TRUE,FALSE
Tomatoes (Round) — Full xreg,-0.001148,0.2675,0.3406,0.5347,Shapiro-Wilk,0,TRUE,FALSE
Tomatoes (Round) — Dummies only,0.006216,0.2719,0.4896,0.8028,Shapiro-Wilk,0,TRUE,FALSE
Tomatoes (Vine) — Full xreg,0.019309,0.4383,0.8255,0.4708,Shapiro-Wilk,0,TRUE,FALSE
Tomatoes (Vine) — Dummies only,0.016715,0.4521,0.872,0.421,Shapiro-Wilk,0,TRUE,FALSE
Asparagus — Full xreg,-0.042107,2.0228,0.3498,0.07,Shapiro-Wilk,0,TRUE,FALSE
Asparagus — Dummies only,-0.102341,2.3534,0.2072,0.0266,Shapiro-Wilk,0,TRUE,FALSE
Capsicums (Red) — Full xreg,-0.014595,0.3229,0.8563,0.4788,Shapiro-Wilk,0,TRUE,FALSE
Capsicums (Red) — Dummies only,0.001128,0.3449,0.8314,0.334,Shapiro-Wilk,0,TRUE,FALSE
Capsicums (Green) — Full xreg,-0.05581,0.3134,0.8167,0.9432,Shapiro-Wilk,0,TRUE,FALSE
Capsicums (Green) — Dummies only,-0.044658,0.3557,0.9526,0.9088,Shapiro-Wilk,0,TRUE,FALSE
Curly kale — Full xreg,0.006614,0.2035,0.0924,0.1318,Shapiro-Wilk,0,TRUE,FALSE
Curly kale — Dummies only,0.00536,0.2045,0.1544,0.2129,Shapiro-Wilk,0,TRUE,FALSE
Pak choi — Full xreg,0.012996,0.1964,0.6473,0.9741,Shapiro-Wilk,0,TRUE,FALSE
Pak choi — Dummies only,0.014745,0.1996,0.5856,0.9614,Shapiro-Wilk,0,TRUE,FALSE
Spring greens — Full xreg,0.003308,0.1492,0.4578,0.6813,Shapiro-Wilk,0,TRUE,FALSE
Spring greens — Dummies only,0.003554,0.1495,0.4046,0.5967,Shapiro-Wilk,0,TRUE,FALSE
