model,RMSE,MAE,MASE,sMAPE,MAPE
Asparagus — Mamba,4.7572,4.025,2.4806,29.3544,27.8543
Beetroot — Mamba,0.1237,0.1161,6.1476,17.0594,15.6004
Bulb Onions (Red) — Mamba,0.0936,0.0594,1.4269,8.2935,7.9071
Bulb Onions (Yellow) — Mamba,0.1055,0.0821,2.1581,13.8445,15.6558
Cabbage — Mamba,0.0468,0.0372,1.7264,5.3204,5.4842
Capsicums (Green) — Mamba,0.3978,0.3331,1.356,22.7071,24.2145
Capsicums (Red) — Mamba,0.7114,0.4355,1.8616,29.9888,27.2008
Carrots — Mamba,0.0698,0.0535,2.7982,9.4392,10.1297
Cooking Apples — Mamba,0.1695,0.144,2.1135,11.6754,10.8547
Cucumbers — Mamba,0.1934,0.1574,1.2474,15.6991,15.1673
Curly kale — Mamba,0.3653,0.2923,2.1947,6.7146,6.6615
Dessert Apples — Mamba,0.1292,0.1087,1.6177,8.7809,8.2777
Leeks — Mamba,0.1134,0.0875,1.418,5.6305,5.6901
Lettuce — Mamba,0.0884,0.0787,3.4485,12.0275,11.1956
Pak choi — Mamba,0.2998,0.2403,1.8236,7.0121,6.656
Pears — Mamba,0.1797,0.1303,1.2451,11.8778,13.5076
Spring greens — Mamba,0.1873,0.1455,1.9022,10.3916,9.7595
Strawberries — Mamba,1.5812,1.1455,1.1805,21.0015,19.514
Tomatoes (Round) — Mamba,0.2502,0.1987,1.0397,19.4704,17.9448
Tomatoes (Vine) — Mamba,0.4648,0.3593,1.1745,23.8289,27.4221
