model,RMSE,MAE,MASE,sMAPE,MAPE,AIC,BIC
Beetroot — auto.arima,0.0744,0.0529,2.7978,7.1982,6.7706,-1853.25,-1828.66
"Beetroot — ARIMA(1,1,1)",0.0804,0.0601,3.1816,8.2602,7.7434,-1844.93,-1832.64
"Beetroot — SARIMA(1,1,1)(1,1,1)[52]",0.0737,0.0505,2.6752,6.8538,6.4814,-1514.04,-1494.17
Bulb Onions (Yellow) — auto.arima,0.0574,0.0453,1.1897,8.3285,8.019,-1094.05,-1077.72
"Bulb Onions (Yellow) — ARIMA(1,1,1)",0.055,0.0454,1.1929,8.3484,8.165,-1091.35,-1079.11
"Bulb Onions (Yellow) — SARIMA(1,1,1)(1,1,1)[52]",0.1409,0.1122,2.9497,18.5607,21.6211,-844.14,-824.36
Cabbage — auto.arima,0.1245,0.0886,4.1137,13.1215,11.7553,-1791.42,-1770.91
"Cabbage — ARIMA(1,1,1)",0.1218,0.0853,3.9612,12.5732,11.2773,-1774.66,-1762.36
Carrots — auto.arima,0.0835,0.0642,3.3606,12.3467,11.386,-1729.43,-1704.95
"Carrots — ARIMA(1,1,1)",0.0837,0.0644,3.3684,12.3777,11.402,-1717.47,-1705.23
"Carrots — SARIMA(1,1,1)(1,1,1)[52]",0.1068,0.0848,4.4389,14.8669,15.717,-1401.94,-1382.17
Lettuce — auto.arima,0.0452,0.036,1.5777,5.2655,5.2413,-1721.47,-1705.09
"Lettuce — ARIMA(1,1,1)",0.0452,0.0363,1.5896,5.3053,5.278,-1717.15,-1704.86
"Lettuce — SARIMA(1,1,1)(1,1,1)[52]",0.0605,0.0505,2.212,7.3074,7.6522,-1401.39,-1381.53
Cucumbers — auto.arima,0.2792,0.2494,1.9761,23.9135,28.0013,-109.29,-86.3
"Cucumbers — ARIMA(1,1,1)",0.2791,0.2473,1.9596,23.7295,27.8674,-101.48,-89.98
"Cucumbers — SARIMA(1,1,1)(1,1,1)[52]",0.3228,0.2788,2.2091,25.9622,31.4052,13.02,31.35
Tomatoes (Round) — auto.arima,0.2694,0.2382,1.2464,22.1429,25.9273,101.08,119.6
"Tomatoes (Round) — ARIMA(1,1,1)",0.2761,0.2449,1.2813,22.6583,26.474,110.31,121.42
"Tomatoes (Round) — SARIMA(1,1,1)(1,1,1)[52]",0.3103,0.2806,1.4681,25.3486,29.4888,157.37,174.94
Curly kale — auto.arima,0.255,0.1944,1.4596,4.4339,4.3351,-89.35,-70.83
"Curly kale — ARIMA(1,1,1)",0.2536,0.193,1.4491,4.401,4.3048,-82.87,-71.76
"Curly kale — SARIMA(1,1,1)(1,1,1)[52]",0.5655,0.4639,3.4826,10.0835,10.8571,31.66,49.23
