predictor,best_lag,best_f_stat,best_p_value,significant,commodity,target_d_order,pred_d_order,granger_causes_target
api_fresh_vegetables,2,5.9212,0.0036,TRUE,Asparagus,0,1,TRUE
api_fresh_fruit,2,4.974,0.0086,TRUE,Asparagus,0,1,TRUE
api_plant_protection_products,4,1.3579,0.2538,FALSE,Asparagus,0,1,FALSE
api_fertilisers_and_soil_improvers,1,0.577,0.4491,FALSE,Asparagus,0,1,FALSE
fuel_diesel_price,3,0.8648,0.4619,FALSE,Asparagus,0,1,FALSE
sppi_road_freight,1,0.4823,0.4888,FALSE,Asparagus,0,1,FALSE
api_energy_and_lubricants,1,0.3234,0.5707,FALSE,Asparagus,0,1,FALSE
fuel_petrol_price,3,0.6227,0.6019,FALSE,Asparagus,0,1,FALSE
api_fertilisers_and_soil_improvers,8,1.725,0.0906,FALSE,Beetroot,0,1,FALSE
sppi_road_freight,5,1.6473,0.1465,FALSE,Beetroot,0,1,FALSE
api_plant_protection_products,4,1.6816,0.1532,FALSE,Beetroot,0,1,FALSE
fuel_diesel_price,7,1.5231,0.1575,FALSE,Beetroot,0,1,FALSE
api_fresh_vegetables,4,1.5865,0.1769,FALSE,Beetroot,0,1,FALSE
api_energy_and_lubricants,8,1.3946,0.1967,FALSE,Beetroot,0,1,FALSE
fuel_petrol_price,5,1.4614,0.2013,FALSE,Beetroot,0,1,FALSE
api_fresh_fruit,1,0.5515,0.4581,FALSE,Beetroot,0,1,FALSE
api_plant_protection_products,3,1.9495,0.121,FALSE,Bulb Onions (Red),0,1,FALSE
api_fresh_fruit,8,1.3939,0.1972,FALSE,Bulb Onions (Red),0,1,FALSE
api_fertilisers_and_soil_improvers,1,0.4575,0.4992,FALSE,Bulb Onions (Red),0,1,FALSE
api_fresh_vegetables,2,0.4388,0.6451,FALSE,Bulb Onions (Red),0,1,FALSE
fuel_diesel_price,5,0.6702,0.6463,FALSE,Bulb Onions (Red),0,1,FALSE
fuel_petrol_price,7,0.7296,0.647,FALSE,Bulb Onions (Red),0,1,FALSE
api_energy_and_lubricants,7,0.6818,0.6875,FALSE,Bulb Onions (Red),0,1,FALSE
sppi_road_freight,1,0.0633,0.8014,FALSE,Bulb Onions (Red),0,1,FALSE
fuel_diesel_price,5,2.6554,0.0223,TRUE,Bulb Onions (Yellow),0,1,TRUE
