model,RMSE,MAE,MASE,sMAPE,MAPE,AIC,BIC
"Beetroot — ETS (ETS(M,N,N))",0.0806,0.0604,3.1953,8.2985,7.7779,-550.94,-538.64
"Bulb Onions (Red) — ETS (ETS(M,N,N))",0.1209,0.0861,2.0676,12.1971,11.5307,249.5,261.66
"Bulb Onions (Yellow) — ETS (ETS(M,N,N))",0.0553,0.0456,1.1999,8.399,8.221,163.03,175.28
"Cabbage — ETS (ETS(M,Ad,N))",0.1288,0.0939,4.3579,14.0078,12.5259,-409.47,-384.85
"Carrots — ETS (ETS(M,Ad,N))",0.0915,0.0725,3.795,14.1167,12.89,-400.05,-375.55
"Cooking Apples — ETS (ETS(M,N,N))",0.0879,0.0746,1.0952,5.6329,5.4995,616.34,628.64
"Leeks — ETS (ETS(M,N,N))",0.1117,0.0828,1.341,5.32,5.358,675.52,687.68
"Lettuce — ETS (ETS(M,N,N))",0.0458,0.0367,1.6091,5.3682,5.4597,-273.82,-261.52
"Pears — ETS (ETS(A,N,N))",0.216,0.1805,1.7248000000000001,16.7492,15.9954,730.92,742.41
"Dessert Apples — ETS (ETS(A,N,N))",0.0935,0.0751,1.1169,5.8406,5.6782,536.51,548.56
"Cucumbers — ETS (ETS(M,N,N))",0.2383,0.2113,1.6742,20.6077,21.6165,927.33,938.83
"Strawberries — ETS (ETS(M,A,N))",2.0748,1.6231,1.6727,27.8846,29.1205,1841.24,1859.52
"Tomatoes (Round) — ETS (ETS(A,N,N))",0.5301,0.4802,2.5125,39.1126,52.4271,1023.51,1034.63
"Tomatoes (Vine) — ETS (ETS(M,A,N))",0.644,0.5428,1.7742,35.0963,38.5946,1107.4,1125.41
"Asparagus — ETS (ETS(A,N,N))",5.8804,4.6222,2.8487,33.9089,28.0893,789.69,797.98
"Capsicums (Red) — ETS (ETS(A,N,N))",0.7743,0.5327,2.2771,42.6421,33.6828,632.4,642.16
"Capsicums (Green) — ETS (ETS(A,N,N))",0.6179,0.5031,2.0484,40.3655,32.3381,356.8,365.17
"Curly kale — ETS (ETS(M,N,N))",0.2543,0.1936,1.4536,4.415,4.3167,732.73,743.85
"Pak choi — ETS (ETS(M,N,N))",0.1859,0.1592,1.2081,4.5055,4.393,761.8,772.96
"Spring greens — ETS (ETS(M,N,N))",0.3643,0.3347,4.3767,23.2465,24.9132,453.72,464.85
