model,RMSE,MAE,MASE,sMAPE,MAPE,AIC,BIC,source
Beetroot — Full xreg,NA,NA,NA,NA,NA,-1858.11,-1792.54,lm_arima_model.Rmd (this file)
Beetroot — Dummies only,0.073,0.0512,2.7077,6.9506,6.5422,-1851.98,-1819.19,lm_arima_model.Rmd (this file)
Bulb Onions (Yellow) — Full xreg,NA,NA,NA,NA,NA,-1076.7,-1019.55,lm_arima_model.Rmd (this file)
Bulb Onions (Yellow) — Dummies only,0.0574,0.0452,1.189,8.3239,8.0148,-1091.26,-1066.76,lm_arima_model.Rmd (this file)
Cabbage — Full xreg,NA,NA,NA,NA,NA,-1780.74,-1719.23,lm_arima_model.Rmd (this file)
Cabbage — Dummies only,0.1245,0.0887,4.115,13.1264,11.7596,-1788.8,-1760.1,lm_arima_model.Rmd (this file)
Carrots — Full xreg,NA,NA,NA,NA,NA,-1718,-1652.72,lm_arima_model.Rmd (this file)
Carrots — Dummies only,0.0835,0.0642,3.3611,12.3486,11.3879,-1726.79,-1694.15,lm_arima_model.Rmd (this file)
Lettuce — Full xreg,NA,NA,NA,NA,NA,-1718.73,-1661.38,lm_arima_model.Rmd (this file)
Lettuce — Dummies only,0.0451,0.0358,1.5686,5.2351,5.2183,-1719.7,-1695.12,lm_arima_model.Rmd (this file)
Cucumbers — Full xreg,NA,NA,NA,NA,NA,-110.88,-49.57,lm_arima_model.Rmd (this file)
Cucumbers — Dummies only,0.2521,0.2281,1.8075,22.1231,24.9012,-110.15,-79.5,lm_arima_model.Rmd (this file)
Tomatoes (Round) — Full xreg,NA,NA,NA,NA,NA,94.16,149.71,lm_arima_model.Rmd (this file)
Tomatoes (Round) — Dummies only,0.2794,0.2454,1.284,22.7232,26.7147,94.89,120.82,lm_arima_model.Rmd (this file)
Curly kale — Full xreg,NA,NA,NA,NA,NA,-73.28,-17.72,lm_arima_model.Rmd (this file)
Curly kale — Dummies only,0.2549,0.1944,1.4595,4.4336,4.3349,-86.4,-60.48,lm_arima_model.Rmd (this file)
Beetroot — auto.arima,0.0744,0.0529,2.7978,7.1982,6.7706,-1853.25,-1828.66,arima_model.R (pre-run)
"Beetroot — ARIMA(1,1,1)",0.0804,0.0601,3.1816,8.2602,7.7434,-1844.93,-1832.64,arima_model.R (pre-run)
"Beetroot — SARIMA(1,1,1)(1,1,1)[52]",0.0737,0.0505,2.6752,6.8538,6.4814,-1514.04,-1494.17,arima_model.R (pre-run)
