model,RMSE,MAE,MASE,sMAPE,MAPE,AIC,BIC
Beetroot — VAR(1),0.0448,0.0311,1.6457,4.1827,4.1561,13598.22,14040.57
Bulb Onions (Red) — VAR(1),0.0921,0.0616,1.4807,8.5381,8.7695,13980.97,14418.34
Bulb Onions (Yellow) — VAR(1),0.0524,0.0408,1.0716,7.4549,7.6854,14186.7,14627.33
Cabbage — VAR(1),0.0394,0.0287,1.3315,3.9958,4.008,13706.4,14148.99
Carrots — VAR(1),0.0463,0.0309,1.6164,5.6169,5.6023,13520.63,13961.02
Cooking Apples — VAR(1),0.0766,0.0609,0.8939,4.5338,4.5382,15059.51,15501.86
Leeks — VAR(1),0.1082,0.0691,1.12,4.4084,4.4378,14340.44,14777.56
Lettuce — VAR(1),0.0348,0.0286,1.2525,4.1149,4.0992,13702.29,14144.39
Pears — VAR(1),0.164,0.1204,1.1501,10.9793,11.393,12213.82,12626.71
Dessert Apples — VAR(1),0.0843,0.0662,0.9844,5.1393,5.0936,13658.94,14092.16
Cucumbers — VAR(1),0.1815,0.1509,1.1956,14.7548,15.8297,12435.79,12849.32
Strawberries — VAR(1),2.1739,1.3353,1.3761,24.9743,21.4759,11599.19,11993.28
Tomatoes (Round) — VAR(1),0.2391,0.2075,1.086,19.5444,21.4876,11190.23,11589.87
Tomatoes (Vine) — VAR(1),0.4433,0.3215,1.0508,20.7512,21.2514,10445.63,10833.86
Asparagus — VAR(1),3.9299,3.0126,1.8567,22.6219,22.3329,5197.77,5494.23
Capsicums (Red) — VAR(1),0.8112,0.4821,2.0606,28.6053,32.2771,7637.13,7987.24
Capsicums (Green) — VAR(1),0.4929,0.3372,1.3727,23.6451,23.0593,5012.88,5311.19
Curly kale — VAR(1),0.2534,0.1751,1.3143,3.9454,3.9838,10638.65,11038.3
Pak choi — VAR(1),0.1363,0.109,0.8269,3.0772,3.0661,10728.14,11129.22
Spring greens — VAR(1),0.1777,0.136,1.778,9.5634,9.7279,10470.89,10870.9
