model,RMSE,MAE,MASE,sMAPE,MAPE,AIC,BIC
"Beetroot — VARMA(1,0)",0.0461,0.0317,1.6801,4.2789,4.2283,2264.86,2633.69
"Bulb Onions (Red) — VARMA(1,0)",0.0933,0.0574,1.379,8.0206,7.8717,3173.17,3537.86
"Bulb Onions (Yellow) — VARMA(1,0)",0.0511,0.0407,1.0689,7.4931,7.5525,3029.13,3396.53
"Cabbage — VARMA(1,0)",0.0396,0.0278,1.2886,3.8437,3.8384,2341.86,2710.89
"Carrots — VARMA(1,0)",0.0464,0.0307,1.6079,5.6132,5.5719,2386.31,2753.5
"Cooking Apples — VARMA(1,0)",0.0759,0.0574,0.8416,4.2877,4.2508,3721.99,4090.82
"Leeks — VARMA(1,0)",0.1108,0.0679,1.0995,4.3452,4.3024,3540.26,3904.73
"Lettuce — VARMA(1,0)",0.0363,0.0292,1.2789,4.2139,4.1767,2409.42,2778.05
"Pears — VARMA(1,0)",0.1671,0.1205,1.1512,11.1566,11.1419,3586.09,3930.43
"Dessert Apples — VARMA(1,0)",0.0915,0.0709,1.0548,5.5387,5.401,3256.21,3617.45
"Cucumbers — VARMA(1,0)",0.1755,0.1395,1.1054,13.4637,13.9425,3770.95,4115.82
"Strawberries — VARMA(1,0)",2.2443,1.4764,1.5215,27.9663,23.5418,4357.39,4686.12
"Tomatoes (Round) — VARMA(1,0)",0.2317,0.2043,1.0689,19.2976,20.5335,3558.87,3892.21
"Tomatoes (Vine) — VARMA(1,0)",0.4366,0.2518,0.8232,15.825,15.1178,3591.57,3915.43
"Asparagus — VARMA(1,0)",4.0691,3.3335,2.0544,24.9128,24.0099,2276.82,2524.65
"Capsicums (Red) — VARMA(1,0)",0.825,0.4346,1.8577,25.0009,27.102,2825.59,3117.82
"Curly kale — VARMA(1,0)",0.2617,0.1774,1.3316,4.0046,4.014,3005.68,3339.02
"Pak choi — VARMA(1,0)",0.1484,0.1156,0.8777,3.2809,3.2415,3002.77,3337.3
"Spring greens — VARMA(1,0)",0.1762,0.1302,1.7022,9.1407,9.2003,2808.75,3142.39
