model,resid_mean,resid_sd,ljung_box_lag10_p,ljung_box_lag20_p,normality_test,normality_p,autocorr_ok,normality_ok
"Beetroot — VARMA(1,0)",5e-6,0.0303,5e-4,0.0011,Shapiro-Wilk,0,FALSE,FALSE
"Bulb Onions (Red) — VARMA(1,0)",2.3e-5,0.0798,0,2e-4,Shapiro-Wilk,0,FALSE,FALSE
"Bulb Onions (Yellow) — VARMA(1,0)",1e-6,0.069,0.3825,0.1234,Shapiro-Wilk,0,TRUE,FALSE
"Cabbage — VARMA(1,0)",2e-6,0.0327,0.0025,0.0122,Shapiro-Wilk,0,FALSE,FALSE
"Carrots — VARMA(1,0)",-0,0.0333,0.0128,0.0178,Shapiro-Wilk,0,FALSE,FALSE
"Cooking Apples — VARMA(1,0)",-7e-6,0.1525,2e-4,0.0048,Shapiro-Wilk,0,FALSE,FALSE
"Leeks — VARMA(1,0)",-2.9e-5,0.1247,0,0,Shapiro-Wilk,0,FALSE,FALSE
"Lettuce — VARMA(1,0)",1e-6,0.0352,0.0667,0.1309,Shapiro-Wilk,0,TRUE,FALSE
"Pears — VARMA(1,0)",-1.11e-4,0.1533,0.0101,0.0727,Shapiro-Wilk,0,FALSE,FALSE
"Dessert Apples — VARMA(1,0)",-3.9e-5,0.0957,5e-4,8e-4,Shapiro-Wilk,0,FALSE,FALSE
"Cucumbers — VARMA(1,0)",-4e-6,0.2074,0.122,0.3623,Shapiro-Wilk,0,TRUE,FALSE
"Strawberries — VARMA(1,0)",-4.5e-5,1.4045,0.0393,0.2043,Shapiro-Wilk,0,FALSE,FALSE
"Tomatoes (Round) — VARMA(1,0)",-1.8e-5,0.2858,0.0861,0.3782,Shapiro-Wilk,0,TRUE,FALSE
"Tomatoes (Vine) — VARMA(1,0)",-3.2e-5,0.4553,0.6564,0.607,Shapiro-Wilk,0,TRUE,FALSE
"Asparagus — VARMA(1,0)",-0.003914,2.4607,0.1844,6e-4,Shapiro-Wilk,0,TRUE,FALSE
"Capsicums (Red) — VARMA(1,0)",1.6e-5,0.353,0.7905,0.5544,Shapiro-Wilk,0,TRUE,FALSE
"Curly kale — VARMA(1,0)",-7e-6,0.2105,0,0,Shapiro-Wilk,0,FALSE,FALSE
"Pak choi — VARMA(1,0)",4e-6,0.2071,0.03,0.3155,Shapiro-Wilk,0,FALSE,FALSE
"Spring greens — VARMA(1,0)",-5e-6,0.1516,0.0054,0.0721,Shapiro-Wilk,0,FALSE,FALSE
