model,RMSE,MAE,MASE,sMAPE,MAPE,AIC,BIC,source
Beetroot — Full xreg,NA,NA,NA,NA,NA,-1858.11,-1792.54,lm_arima_model.Rmd (this file)
Beetroot — Dummies only,0.073,0.0512,2.7077,6.9506,6.5422,-1851.98,-1819.19,lm_arima_model.Rmd (this file)
Bulb Onions (Red) — Full xreg,NA,NA,NA,NA,NA,-968.04,-915.37,lm_arima_model.Rmd (this file)
Bulb Onions (Red) — Dummies only,0.1209,0.0861,2.0673,12.1952,11.5277,-981.35,-961.09,lm_arima_model.Rmd (this file)
Bulb Onions (Yellow) — Full xreg,NA,NA,NA,NA,NA,-1068.19,-1019.21,lm_arima_model.Rmd (this file)
Bulb Onions (Yellow) — Dummies only,0.0563,0.0459,1.2068,8.4486,8.2135,-1082.95,-1066.62,lm_arima_model.Rmd (this file)
Cabbage — Full xreg,NA,NA,NA,NA,NA,-1780.74,-1719.23,lm_arima_model.Rmd (this file)
Cabbage — Dummies only,0.1245,0.0887,4.115,13.1264,11.7596,-1788.8,-1760.1,lm_arima_model.Rmd (this file)
Carrots — Full xreg,NA,NA,NA,NA,NA,-1718,-1652.72,lm_arima_model.Rmd (this file)
Carrots — Dummies only,0.0835,0.0642,3.3611,12.3486,11.3879,-1726.79,-1694.15,lm_arima_model.Rmd (this file)
Cooking Apples — Full xreg,NA,NA,NA,NA,NA,-402.88,-353.7,lm_arima_model.Rmd (this file)
Cooking Apples — Dummies only,0.0879,0.0746,1.0952,5.6329,5.4995,-417.97,-401.58,lm_arima_model.Rmd (this file)
Leeks — Full xreg,NA,NA,NA,NA,NA,-559.75,-503.06,lm_arima_model.Rmd (this file)
Leeks — Dummies only,0.1114,0.0821,1.3304,5.2782,5.3118,-570.64,-546.34,lm_arima_model.Rmd (this file)
Lettuce — Full xreg,NA,NA,NA,NA,NA,-1718.73,-1661.38,lm_arima_model.Rmd (this file)
Lettuce — Dummies only,0.0451,0.0358,1.5686,5.2351,5.2183,-1719.7,-1695.12,lm_arima_model.Rmd (this file)
Pears — Full xreg,NA,NA,NA,NA,NA,-294.09,-232.88,lm_arima_model.Rmd (this file)
Pears — Dummies only,0.1959,0.1479,1.4134,13.5799,14.101,-301.25,-270.65,lm_arima_model.Rmd (this file)
Dessert Apples — Full xreg,NA,NA,NA,NA,NA,-779.57,-715.35,lm_arima_model.Rmd (this file)
Dessert Apples — Dummies only,0.0936,0.075,1.1162,5.8372,5.6721,-777.78,-745.67,lm_arima_model.Rmd (this file)
Cucumbers — Full xreg,NA,NA,NA,NA,NA,-108.88,-51.41,lm_arima_model.Rmd (this file)
Cucumbers — Dummies only,0.2458,0.2224,1.7624,21.6279,23.9472,-108.58,-81.75,lm_arima_model.Rmd (this file)
Strawberries — Full xreg,NA,NA,NA,NA,NA,1023.22,1081.66,lm_arima_model.Rmd (this file)
Strawberries — Dummies only,1.9472,1.312,1.3521,23.2507,19.928,1021.76,1050.98,lm_arima_model.Rmd (this file)
Tomatoes (Round) — Full xreg,NA,NA,NA,NA,NA,94.16,149.71,lm_arima_model.Rmd (this file)
Tomatoes (Round) — Dummies only,0.2794,0.2454,1.284,22.7232,26.7147,94.89,120.82,lm_arima_model.Rmd (this file)
Tomatoes (Vine) — Full xreg,NA,NA,NA,NA,NA,351.59,398.37,lm_arima_model.Rmd (this file)
Tomatoes (Vine) — Dummies only,0.5898,0.4872,1.5926,31.7028,34.3574,349.53,367.52,lm_arima_model.Rmd (this file)
Asparagus — Full xreg,NA,NA,NA,NA,NA,509.48,550.92,lm_arima_model.Rmd (this file)
Asparagus — Dummies only,5.4014,4.5483,2.8031,33.298,30.3753,535.5,554.84,lm_arima_model.Rmd (this file)
Capsicums (Red) — Full xreg,NA,NA,NA,NA,NA,136.14,178.35,lm_arima_model.Rmd (this file)
Capsicums (Red) — Dummies only,0.73740000000000006,0.5111,2.1846,33.1067,35.9454,147.82,164.06,lm_arima_model.Rmd (this file)
Capsicums (Green) — Full xreg,NA,NA,NA,NA,NA,91.53,127.66,lm_arima_model.Rmd (this file)
Capsicums (Green) — Dummies only,0.5686,0.4373,1.7804,33.6327,27.3143,103.85,117.74,lm_arima_model.Rmd (this file)
Curly kale — Full xreg,NA,NA,NA,NA,NA,-73.28,-17.72,lm_arima_model.Rmd (this file)
Curly kale — Dummies only,0.2549,0.1944,1.4595,4.4336,4.3349,-86.4,-60.48,lm_arima_model.Rmd (this file)
Pak choi — Full xreg,NA,NA,NA,NA,NA,-93.82,-38.06,lm_arima_model.Rmd (this file)
Pak choi — Dummies only,0.1453,0.1219,0.9253,3.4318,3.4384,-100.48,-74.46,lm_arima_model.Rmd (this file)
Spring greens — Full xreg,NA,NA,NA,NA,NA,-266.71,-222.22,lm_arima_model.Rmd (this file)
Spring greens — Dummies only,0.3627,0.3312,4.3308,23.0131,24.477,-281.73,-266.9,lm_arima_model.Rmd (this file)
Beetroot — auto.arima,0.0604,0.0465,2.5237,6.4594,6.5461,-1757.65,-1733.4,arima_model.R (pre-run)
"Beetroot — ARIMA(1,1,1)",0.0893,0.0792,4.3004,10.787,11.5211,-1748.99,-1736.86,arima_model.R (pre-run)
"Beetroot — SARIMA(1,1,1)(1,1,1)[52]",0.11,0.0958,5.2026,12.748,13.7952,-1427.2,-1407.65,arima_model.R (pre-run)
Bulb Onions (Red) — auto.arima,0.4321,0.4141,10.9779,46.7615,64.3277,-1094.97,-1082.99,arima_model.R (pre-run)
"Bulb Onions (Red) — ARIMA(1,1,1)",0.4321,0.4141,10.9779,46.7615,64.3277,-1094.97,-1082.99,arima_model.R (pre-run)
"Bulb Onions (Red) — SARIMA(1,1,1)(1,1,1)[52]",0.4908,0.473,12.539,51.5377,72.9428,-847.12,-827.84,arima_model.R (pre-run)
Bulb Onions (Yellow) — auto.arima,0.1387,0.102,2.7949,18.1976,15.9771,-1060.48,-1052.43,arima_model.R (pre-run)
"Bulb Onions (Yellow) — ARIMA(1,1,1)",0.1364,0.0991,2.7153,17.5953,15.471,-1058.87,-1046.8,arima_model.R (pre-run)
Cabbage — auto.arima,0.3144,0.3017,14.0239,36.8553,46.3918,-1691.13,-1670.91,arima_model.R (pre-run)
"Cabbage — ARIMA(1,1,1)",0.3003,0.2871,13.3426,35.4088,44.2034,-1676.33,-1664.2,arima_model.R (pre-run)
Carrots — auto.arima,0.2855,0.2725,14.5967,40.7384,53.0002,-1632.42,-1608.28,arima_model.R (pre-run)
"Carrots — ARIMA(1,1,1)",0.2758,0.2615,14.0093,39.4514,51.0143,-1623.79,-1611.72,arima_model.R (pre-run)
"Carrots — SARIMA(1,1,1)(1,1,1)[52]",0.2567,0.2383,12.7626,36.2883,46.0905,-1306.66,-1287.21,arima_model.R (pre-run)
Cooking Apples — auto.arima,0.4863,0.4598,6.6722,28.975,34.7142,-381.58,-373.49,arima_model.R (pre-run)
"Cooking Apples — ARIMA(1,1,1)",0.486,0.4595,6.6686,28.9622,34.6956,-379.6,-367.47,arima_model.R (pre-run)
"Cooking Apples — SARIMA(1,1,1)(1,1,1)[52]",0.4317,0.3886,5.6398,24.849,29.4197,-242.86,-223.31,arima_model.R (pre-run)
Leeks — auto.arima,0.4033,0.3802,6.3274,21.6123,24.4355,-570.33,-554.37,arima_model.R (pre-run)
"Leeks — ARIMA(1,1,1)",0.3231,0.3009,5.0078,17.5249,19.186,-553.18,-541.21,arima_model.R (pre-run)
"Leeks — SARIMA(1,1,1)(1,1,1)[52]",0.362,0.331,5.509,19.0616,21.1667,-358.65,-339.39,arima_model.R (pre-run)
Lettuce — auto.arima,0.0395,0.032,1.3868,4.7083,4.6725,-1615.75,-1599.59,arima_model.R (pre-run)
"Lettuce — ARIMA(1,1,1)",0.0393,0.032,1.389,4.7161,4.7004,-1612.06,-1599.94,arima_model.R (pre-run)
"Lettuce — SARIMA(1,1,1)(1,1,1)[52]",0.0485,0.0375,1.6235,5.449,5.668,-1301.08,-1281.54,arima_model.R (pre-run)
Pears — auto.arima,0.173,0.1266,1.2203,11.6414,12.6528,-283.83,-261.43,arima_model.R (pre-run)
"Pears — ARIMA(1,1,1)",0.1754,0.1294,1.2466,11.8905,12.761,-267.97,-256.77,arima_model.R (pre-run)
Dessert Apples — auto.arima,0.094,0.07,1.0595,5.6005,5.6041,-739.18,-715.47,arima_model.R (pre-run)
"Dessert Apples — ARIMA(1,1,1)",0.0927,0.0685,1.0369,5.4807,5.5311,-731.65,-719.79,arima_model.R (pre-run)
"Dessert Apples — SARIMA(1,1,1)(1,1,1)[52]",0.1268,0.0999,1.5128,7.8299,8.256,-539.51,-520.47,arima_model.R (pre-run)
Cucumbers — auto.arima,0.32,0.242,1.9159,20.7438,20.3999,-93.66,-74.98,arima_model.R (pre-run)
"Cucumbers — ARIMA(1,1,1)",0.3181,0.2407,1.9056,20.6262,20.4151,-87.15,-75.94,arima_model.R (pre-run)
"Cucumbers — SARIMA(1,1,1)(1,1,1)[52]",0.3363,0.2635,2.0867,22.4336,24.6805,18.27,36.04,arima_model.R (pre-run)
Strawberries — auto.arima,1.5008,1.1258,1.1455,24.2043,29.4249,909.78,930.91,arima_model.R (pre-run)
"Strawberries — ARIMA(1,1,1)",1.533,1.1609,1.1812,24.8503,30.2437,922.81,933.38,arima_model.R (pre-run)
"Strawberries — SARIMA(1,1,1)(1,1,1)[52]",1.6452,1.2508,1.2727,25.798,31.2896,822.3,838.74,arima_model.R (pre-run)
Tomatoes (Round) — auto.arima,0.3206,0.2702,1.4535,23.169,25.2482,76.14,94.06,arima_model.R (pre-run)
"Tomatoes (Round) — ARIMA(1,1,1)",0.4442,0.3393,1.8249,31.591,25.7562,130.89,141.64,arima_model.R (pre-run)
"Tomatoes (Round) — SARIMA(1,1,1)(1,1,1)[52]",0.461,0.3552,1.9108,34.4519,28.1056,158.26,175.09,arima_model.R (pre-run)
Tomatoes (Vine) — auto.arima,0.5828,0.3623,1.2345,22.0352,22.6489,275.69,286.09,arima_model.R (pre-run)
"Tomatoes (Vine) — ARIMA(1,1,1)",0.5828,0.3623,1.2345,22.0352,22.6489,275.69,286.09,arima_model.R (pre-run)
"Tomatoes (Vine) — SARIMA(1,1,1)(1,1,1)[52]",0.6494,0.4882,1.6633,28.7132,33.5078,288.67,304.77,arima_model.R (pre-run)
Asparagus — auto.arima,4.8931,3.5958,2.1524,30.0795,24.8287,345.71,357.23,arima_model.R (pre-run)
"Asparagus — ARIMA(1,1,1)",6.3438,5.0679,3.0337,47.3717,36.2406,354.26,361.13,arima_model.R (pre-run)
Capsicums (Red) — auto.arima,0.6523,0.4476,1.8952,28.1828,25.7174,130.02,139.09,arima_model.R (pre-run)
"Capsicums (Red) — ARIMA(1,1,1)",0.6523,0.4476,1.8952,28.1828,25.7174,130.02,139.09,arima_model.R (pre-run)
"Capsicums (Red) — SARIMA(1,1,1)(1,1,1)[52]",0.7487,0.5532,2.3424,34.0862,36.5304,152.86,165.88,arima_model.R (pre-run)
Capsicums (Green) — auto.arima,0.5211,0.4455,1.6807,29.6139,34.633,95.13,102.31,arima_model.R (pre-run)
"Capsicums (Green) — ARIMA(1,1,1)",0.5211,0.4455,1.6807,29.6139,34.633,95.13,102.31,arima_model.R (pre-run)
Curly kale — auto.arima,0.7757,0.7298,5.4261,15.3954,16.8869,-73.77,-55.67,arima_model.R (pre-run)
"Curly kale — ARIMA(1,1,1)",0.8344,0.7868,5.8503,16.4932,18.2071,-64.67,-53.81,arima_model.R (pre-run)
"Curly kale — SARIMA(1,1,1)(1,1,1)[52]",0.8495,0.7752,5.7636,16.1419,17.8922,42.4,59.46,arima_model.R (pre-run)
Pak choi — auto.arima,0.2596,0.1931,1.5197,5.389,5.4905,-128.1,-109.93,arima_model.R (pre-run)
"Pak choi — ARIMA(1,1,1)",0.272,0.2074,1.6326,5.7862,5.9346,-126.94,-116.03,arima_model.R (pre-run)
"Pak choi — SARIMA(1,1,1)(1,1,1)[52]",0.4961,0.4499,3.5418,11.9667,12.8328,-26.43,-9.28,arima_model.R (pre-run)
Spring greens — auto.arima,0.5217,0.4623,6.0097,29.2139,36.4885,-254.48,-247.23,arima_model.R (pre-run)
"Spring greens — ARIMA(1,1,1)",0.5131,0.4544,5.9069,28.8072,35.8689,-252.53,-241.66,arima_model.R (pre-run)
