model,RMSE,MAE,MASE,sMAPE,MAPE,AIC,BIC
Beetroot — auto.arima,0.0604,0.0465,2.5237,6.4594,6.5461,-1757.65,-1733.4
"Beetroot — ARIMA(1,1,1)",0.0893,0.0792,4.3004,10.787,11.5211,-1748.99,-1736.86
"Beetroot — SARIMA(1,1,1)(1,1,1)[52]",0.11,0.0958,5.2026,12.748,13.7952,-1427.2,-1407.65
Bulb Onions (Red) — auto.arima,0.4321,0.4141,10.9779,46.7615,64.3277,-1094.97,-1082.99
"Bulb Onions (Red) — ARIMA(1,1,1)",0.4321,0.4141,10.9779,46.7615,64.3277,-1094.97,-1082.99
"Bulb Onions (Red) — SARIMA(1,1,1)(1,1,1)[52]",0.4908,0.473,12.539,51.5377,72.9428,-847.12,-827.84
Bulb Onions (Yellow) — auto.arima,0.1387,0.102,2.7949,18.1976,15.9771,-1060.48,-1052.43
"Bulb Onions (Yellow) — ARIMA(1,1,1)",0.1364,0.0991,2.7153,17.5953,15.471,-1058.87,-1046.8
Cabbage — auto.arima,0.3144,0.3017,14.0239,36.8553,46.3918,-1691.13,-1670.91
"Cabbage — ARIMA(1,1,1)",0.3003,0.2871,13.3426,35.4088,44.2034,-1676.33,-1664.2
Carrots — auto.arima,0.2855,0.2725,14.5967,40.7384,53.0002,-1632.42,-1608.28
"Carrots — ARIMA(1,1,1)",0.2758,0.2615,14.0093,39.4514,51.0143,-1623.79,-1611.72
"Carrots — SARIMA(1,1,1)(1,1,1)[52]",0.2567,0.2383,12.7626,36.2883,46.0905,-1306.66,-1287.21
Cooking Apples — auto.arima,0.4863,0.4598,6.6722,28.975,34.7142,-381.58,-373.49
"Cooking Apples — ARIMA(1,1,1)",0.486,0.4595,6.6686,28.9622,34.6956,-379.6,-367.47
"Cooking Apples — SARIMA(1,1,1)(1,1,1)[52]",0.4317,0.3886,5.6398,24.849,29.4197,-242.86,-223.31
Leeks — auto.arima,0.4033,0.3802,6.3274,21.6123,24.4355,-570.33,-554.37
"Leeks — ARIMA(1,1,1)",0.3231,0.3009,5.0078,17.5249,19.186,-553.18,-541.21
"Leeks — SARIMA(1,1,1)(1,1,1)[52]",0.362,0.331,5.509,19.0616,21.1667,-358.65,-339.39
Lettuce — auto.arima,0.0395,0.032,1.3868,4.7083,4.6725,-1615.75,-1599.59
"Lettuce — ARIMA(1,1,1)",0.0393,0.032,1.389,4.7161,4.7004,-1612.06,-1599.94
"Lettuce — SARIMA(1,1,1)(1,1,1)[52]",0.0485,0.0375,1.6235,5.449,5.668,-1301.08,-1281.54
Pears — auto.arima,0.173,0.1266,1.2203,11.6414,12.6528,-283.83,-261.43
"Pears — ARIMA(1,1,1)",0.1754,0.1294,1.2466,11.8905,12.761,-267.97,-256.77
Dessert Apples — auto.arima,0.094,0.07,1.0595,5.6005,5.6041,-739.18,-715.47
"Dessert Apples — ARIMA(1,1,1)",0.0927,0.0685,1.0369,5.4807,5.5311,-731.65,-719.79
"Dessert Apples — SARIMA(1,1,1)(1,1,1)[52]",0.1268,0.0999,1.5128,7.8299,8.256,-539.51,-520.47
Cucumbers — auto.arima,0.32,0.242,1.9159,20.7438,20.3999,-93.66,-74.98
"Cucumbers — ARIMA(1,1,1)",0.3181,0.2407,1.9056,20.6262,20.4151,-87.15,-75.94
"Cucumbers — SARIMA(1,1,1)(1,1,1)[52]",0.3363,0.2635,2.0867,22.4336,24.6805,18.27,36.04
Strawberries — auto.arima,1.5008,1.1258,1.1455,24.2043,29.4249,909.78,930.91
"Strawberries — ARIMA(1,1,1)",1.533,1.1609,1.1812,24.8503,30.2437,922.81,933.38
"Strawberries — SARIMA(1,1,1)(1,1,1)[52]",1.6452,1.2508,1.2727,25.798,31.2896,822.3,838.74
Tomatoes (Round) — auto.arima,0.3206,0.2702,1.4535,23.169,25.2482,76.14,94.06
"Tomatoes (Round) — ARIMA(1,1,1)",0.4442,0.3393,1.8249,31.591,25.7562,130.89,141.64
"Tomatoes (Round) — SARIMA(1,1,1)(1,1,1)[52]",0.461,0.3552,1.9108,34.4519,28.1056,158.26,175.09
Tomatoes (Vine) — auto.arima,0.5828,0.3623,1.2345,22.0352,22.6489,275.69,286.09
"Tomatoes (Vine) — ARIMA(1,1,1)",0.5828,0.3623,1.2345,22.0352,22.6489,275.69,286.09
"Tomatoes (Vine) — SARIMA(1,1,1)(1,1,1)[52]",0.6494,0.4882,1.6633,28.7132,33.5078,288.67,304.77
Asparagus — auto.arima,4.8931,3.5958,2.1524,30.0795,24.8287,345.71,357.23
"Asparagus — ARIMA(1,1,1)",6.3438,5.0679,3.0337,47.3717,36.2406,354.26,361.13
Capsicums (Red) — auto.arima,0.6523,0.4476,1.8952,28.1828,25.7174,130.02,139.09
"Capsicums (Red) — ARIMA(1,1,1)",0.6523,0.4476,1.8952,28.1828,25.7174,130.02,139.09
"Capsicums (Red) — SARIMA(1,1,1)(1,1,1)[52]",0.7487,0.5532,2.3424,34.0862,36.5304,152.86,165.88
Capsicums (Green) — auto.arima,0.5211,0.4455,1.6807,29.6139,34.633,95.13,102.31
"Capsicums (Green) — ARIMA(1,1,1)",0.5211,0.4455,1.6807,29.6139,34.633,95.13,102.31
Curly kale — auto.arima,0.7757,0.7298,5.4261,15.3954,16.8869,-73.77,-55.67
"Curly kale — ARIMA(1,1,1)",0.8344,0.7868,5.8503,16.4932,18.2071,-64.67,-53.81
"Curly kale — SARIMA(1,1,1)(1,1,1)[52]",0.8495,0.7752,5.7636,16.1419,17.8922,42.4,59.46
Pak choi — auto.arima,0.2596,0.1931,1.5197,5.389,5.4905,-128.1,-109.93
"Pak choi — ARIMA(1,1,1)",0.272,0.2074,1.6326,5.7862,5.9346,-126.94,-116.03
"Pak choi — SARIMA(1,1,1)(1,1,1)[52]",0.4961,0.4499,3.5418,11.9667,12.8328,-26.43,-9.28
Spring greens — auto.arima,0.5217,0.4623,6.0097,29.2139,36.4885,-254.48,-247.23
"Spring greens — ARIMA(1,1,1)",0.5131,0.4544,5.9069,28.8072,35.8689,-252.53,-241.66
