model,resid_mean,resid_sd,ljung_box_lag10_p,ljung_box_lag20_p,normality_test,normality_p,autocorr_ok,normality_ok
Beetroot — auto.arima,0.002614,0.0294,0.224,0.3004,Shapiro-Wilk,0,TRUE,FALSE
"Beetroot — ARIMA(1,1,1)",0.001112,0.0301,0.01,0.028,Shapiro-Wilk,0,FALSE,FALSE
"Beetroot — SARIMA(1,1,1)(1,1,1)[52]",3.25e-4,0.0311,0.0022,0.0054,Shapiro-Wilk,0,FALSE,FALSE
Bulb Onions (Red) — auto.arima,0.003959,0.0612,0.9766,0.9981,Shapiro-Wilk,0,TRUE,FALSE
"Bulb Onions (Red) — ARIMA(1,1,1)",0.003959,0.0612,0.9766,0.9981,Shapiro-Wilk,0,TRUE,FALSE
"Bulb Onions (Red) — SARIMA(1,1,1)(1,1,1)[52]",0.002053,0.0566,0.985,0.9997,Shapiro-Wilk,0,TRUE,FALSE
Bulb Onions (Yellow) — auto.arima,4.3e-4,0.0669,0.6782,0.3804,Shapiro-Wilk,0,TRUE,FALSE
"Bulb Onions (Yellow) — ARIMA(1,1,1)",4.55e-4,0.0669,0.6976,0.41,Shapiro-Wilk,0,TRUE,FALSE
Cabbage — auto.arima,0.001029,0.0322,0.9999,0.9741,Shapiro-Wilk,0,TRUE,FALSE
"Cabbage — ARIMA(1,1,1)",0.001461,0.0329,0.0177,0.0138,Shapiro-Wilk,0,FALSE,FALSE
Carrots — auto.arima,9.76e-4,0.033,1,0.7971,Shapiro-Wilk,0,TRUE,FALSE
"Carrots — ARIMA(1,1,1)",0.001144,0.0336,0.2088,0.1054,Shapiro-Wilk,0,TRUE,FALSE
"Carrots — SARIMA(1,1,1)(1,1,1)[52]",5.63e-4,0.035,0.2116,0.2664,Shapiro-Wilk,0,TRUE,FALSE
Cooking Apples — auto.arima,0.003663,0.153,0.7534,0.8871,Shapiro-Wilk,0,TRUE,FALSE
"Cooking Apples — ARIMA(1,1,1)",0.00363,0.153,0.759,0.8886,Shapiro-Wilk,0,TRUE,FALSE
"Cooking Apples — SARIMA(1,1,1)(1,1,1)[52]",1.28e-4,0.1383,0.9941,0.9979,Shapiro-Wilk,0,TRUE,FALSE
Leeks — auto.arima,0.005414,0.1172,0.8581,0.9448,Shapiro-Wilk,0,TRUE,FALSE
"Leeks — ARIMA(1,1,1)",0.003093,0.1202,0.0137,0.1619,Shapiro-Wilk,0,FALSE,FALSE
"Leeks — SARIMA(1,1,1)(1,1,1)[52]",-9.43e-4,0.1198,0.0406,0.2247,Shapiro-Wilk,0,FALSE,FALSE
Lettuce — auto.arima,0.0027,0.0349,0.5947,0.7602,Shapiro-Wilk,0,TRUE,FALSE
"Lettuce — ARIMA(1,1,1)",0.002692,0.0351,0.1681,0.375,Shapiro-Wilk,0,TRUE,FALSE
"Lettuce — SARIMA(1,1,1)(1,1,1)[52]",-3.42e-4,0.0351,0.1429,0.0711,Shapiro-Wilk,0,TRUE,FALSE
Pears — auto.arima,0.011956,0.1491,0.8291,0.8586,Shapiro-Wilk,0,TRUE,FALSE
"Pears — ARIMA(1,1,1)",0.001914,0.1553,0.2149,0.4928,Shapiro-Wilk,0,TRUE,FALSE
Dessert Apples — auto.arima,0.008899,0.0907,0.743,0.4864,Shapiro-Wilk,0,TRUE,FALSE
"Dessert Apples — ARIMA(1,1,1)",0.003262,0.0928,0.3236,0.206,Shapiro-Wilk,0,TRUE,FALSE
"Dessert Apples — SARIMA(1,1,1)(1,1,1)[52]",-0.001539,0.0858,0.3901,0.2809,Shapiro-Wilk,0,TRUE,FALSE
Cucumbers — auto.arima,0.013805,0.2037,0.9422,0.9984,Shapiro-Wilk,0,TRUE,FALSE
"Cucumbers — ARIMA(1,1,1)",0.013525,0.2072,0.1028,0.5762,Shapiro-Wilk,0,TRUE,FALSE
"Cucumbers — SARIMA(1,1,1)(1,1,1)[52]",0.007773,0.2092,0.0459,0.3846,Shapiro-Wilk,0,FALSE,FALSE
Strawberries — auto.arima,0.112232,1.4482,0.9781,0.7517,Shapiro-Wilk,0,TRUE,FALSE
"Strawberries — ARIMA(1,1,1)",0.102952,1.5059,0.1722,0.0884,Shapiro-Wilk,0,TRUE,FALSE
"Strawberries — SARIMA(1,1,1)(1,1,1)[52]",0.006562,1.5241,0.1564,0.0738,Shapiro-Wilk,0,TRUE,FALSE
Tomatoes (Round) — auto.arima,0.022505,0.2717,0.8032,0.7426,Shapiro-Wilk,0,TRUE,FALSE
"Tomatoes (Round) — ARIMA(1,1,1)",4.6e-5,0.306,0.0023,0.0381,Shapiro-Wilk,0,FALSE,FALSE
"Tomatoes (Round) — SARIMA(1,1,1)(1,1,1)[52]",-0.001964,0.245,0.0025,0.0044,Shapiro-Wilk,0,FALSE,FALSE
Tomatoes (Vine) — auto.arima,0.032174,0.4247,0.7817,0.612,Shapiro-Wilk,0,TRUE,FALSE
"Tomatoes (Vine) — ARIMA(1,1,1)",0.032174,0.4247,0.7817,0.612,Shapiro-Wilk,0,TRUE,FALSE
"Tomatoes (Vine) — SARIMA(1,1,1)(1,1,1)[52]",-0.020213,0.3515,0.6904,0.5694,Shapiro-Wilk,0,TRUE,FALSE
Asparagus — auto.arima,0.030006,2.3355,0.9596,0.4664,Shapiro-Wilk,0,TRUE,FALSE
"Asparagus — ARIMA(1,1,1)",-0.026099,2.6281,0.6293,0.1811,Shapiro-Wilk,0,TRUE,FALSE
Capsicums (Red) — auto.arima,0.031364,0.3604,0.7377,0.2598,Shapiro-Wilk,0,TRUE,FALSE
"Capsicums (Red) — ARIMA(1,1,1)",0.031364,0.3604,0.7377,0.2598,Shapiro-Wilk,0,TRUE,FALSE
"Capsicums (Red) — SARIMA(1,1,1)(1,1,1)[52]",-0.001622,0.3868,0.6574,0.7412,Shapiro-Wilk,0,TRUE,FALSE
Capsicums (Green) — auto.arima,0.018804,0.4172,0.5685,0.8018,Shapiro-Wilk,1e-4,TRUE,FALSE
"Capsicums (Green) — ARIMA(1,1,1)",0.018804,0.4172,0.5685,0.8018,Shapiro-Wilk,1e-4,TRUE,FALSE
Curly kale — auto.arima,0.010803,0.2074,0.3605,0.5294,Shapiro-Wilk,0,TRUE,FALSE
"Curly kale — ARIMA(1,1,1)",0.01364,0.2124,0.012,0.0606,Shapiro-Wilk,0,FALSE,FALSE
"Curly kale — SARIMA(1,1,1)(1,1,1)[52]",0.005836,0.2157,0.024,0.114,Shapiro-Wilk,0,FALSE,FALSE
Pak choi — auto.arima,0.018139,0.1879,0.8014,0.9973,Shapiro-Wilk,0,TRUE,FALSE
"Pak choi — ARIMA(1,1,1)",0.014021,0.1902,0.6106,0.9787,Shapiro-Wilk,0,TRUE,FALSE
"Pak choi — SARIMA(1,1,1)(1,1,1)[52]",-0.011139,0.1738,0.7696,0.988,Shapiro-Wilk,0,TRUE,FALSE
Spring greens — auto.arima,0.005311,0.1516,0.9924,0.9486,Shapiro-Wilk,0,TRUE,FALSE
"Spring greens — ARIMA(1,1,1)",0.0052,0.1516,0.9919,0.9464,Shapiro-Wilk,0,TRUE,FALSE
