predictor,lag,f_stat,p_value,significant,commodity,target_d_order,pred_d_order
api_energy_and_lubricants,1,0.1634,0.6862,FALSE,Beetroot,0,1
api_energy_and_lubricants,2,0.3771,0.6861,FALSE,Beetroot,0,1
api_energy_and_lubricants,3,0.1906,0.9028,FALSE,Beetroot,0,1
api_energy_and_lubricants,4,0.1832,0.9471,FALSE,Beetroot,0,1
api_energy_and_lubricants,5,0.8161,0.5386,FALSE,Beetroot,0,1
api_energy_and_lubricants,6,0.7638,0.5987,FALSE,Beetroot,0,1
api_energy_and_lubricants,7,0.6421,0.721,FALSE,Beetroot,0,1
api_energy_and_lubricants,8,1.3946,0.1967,FALSE,Beetroot,0,1
api_fertilisers_and_soil_improvers,1,0.029,0.8648,FALSE,Beetroot,0,1
api_fertilisers_and_soil_improvers,2,0.2561,0.7742,FALSE,Beetroot,0,1
api_fertilisers_and_soil_improvers,3,0.6843,0.562,FALSE,Beetroot,0,1
api_fertilisers_and_soil_improvers,4,0.9695,0.424,FALSE,Beetroot,0,1
api_fertilisers_and_soil_improvers,5,1.5827,0.1636,FALSE,Beetroot,0,1
api_fertilisers_and_soil_improvers,6,1.495,0.1782,FALSE,Beetroot,0,1
api_fertilisers_and_soil_improvers,7,1.2246,0.2877,FALSE,Beetroot,0,1
api_fertilisers_and_soil_improvers,8,1.725,0.0906,FALSE,Beetroot,0,1
api_plant_protection_products,1,8e-4,0.978,FALSE,Beetroot,0,1
api_plant_protection_products,2,0.3966,0.6729,FALSE,Beetroot,0,1
api_plant_protection_products,3,1.5346,0.2049,FALSE,Beetroot,0,1
api_plant_protection_products,4,1.6816,0.1532,FALSE,Beetroot,0,1
api_plant_protection_products,5,1.3651,0.2363,FALSE,Beetroot,0,1
api_plant_protection_products,6,1.0082,0.4193,FALSE,Beetroot,0,1
api_plant_protection_products,7,0.896,0.5094,FALSE,Beetroot,0,1
api_plant_protection_products,8,0.9854,0.4467,FALSE,Beetroot,0,1
api_fresh_fruit,1,0.5515,0.4581,FALSE,Beetroot,0,1
api_fresh_fruit,2,0.311,0.7329,FALSE,Beetroot,0,1
api_fresh_fruit,3,0.7458,0.5252,FALSE,Beetroot,0,1
api_fresh_fruit,4,0.5869,0.6723,FALSE,Beetroot,0,1
api_fresh_fruit,5,0.5954,0.7035,FALSE,Beetroot,0,1
api_fresh_fruit,6,0.536,0.7809,FALSE,Beetroot,0,1
api_fresh_fruit,7,0.5908,0.7635,FALSE,Beetroot,0,1
api_fresh_fruit,8,0.7806,0.6201,FALSE,Beetroot,0,1
api_fresh_vegetables,1,1.5429,0.2148,FALSE,Beetroot,0,1
api_fresh_vegetables,2,0.9951,0.3705,FALSE,Beetroot,0,1
api_fresh_vegetables,3,1.0913,0.3525,FALSE,Beetroot,0,1
api_fresh_vegetables,4,1.5865,0.1769,FALSE,Beetroot,0,1
api_fresh_vegetables,5,1.3189,0.2549,FALSE,Beetroot,0,1
api_fresh_vegetables,6,1.0769,0.3754,FALSE,Beetroot,0,1
api_fresh_vegetables,7,0.9866,0.4403,FALSE,Beetroot,0,1
api_fresh_vegetables,8,1.1681,0.317,FALSE,Beetroot,0,1
fuel_petrol_price,1,0.3877,0.5338,FALSE,Beetroot,0,1
fuel_petrol_price,2,1.0514,0.3503,FALSE,Beetroot,0,1
fuel_petrol_price,3,0.7279,0.5357,FALSE,Beetroot,0,1
fuel_petrol_price,4,0.8522,0.4927,FALSE,Beetroot,0,1
fuel_petrol_price,5,1.4614,0.2013,FALSE,Beetroot,0,1
fuel_petrol_price,6,1.2852,0.2627,FALSE,Beetroot,0,1
fuel_petrol_price,7,1.1811,0.3123,FALSE,Beetroot,0,1
fuel_petrol_price,8,1.1632,0.3201,FALSE,Beetroot,0,1
fuel_diesel_price,1,0.0056,0.9405,FALSE,Beetroot,0,1
fuel_diesel_price,2,0.1498,0.8609,FALSE,Beetroot,0,1
fuel_diesel_price,3,0.2748,0.8436,FALSE,Beetroot,0,1
fuel_diesel_price,4,0.3662,0.8327,FALSE,Beetroot,0,1
fuel_diesel_price,5,1.289,0.2675,FALSE,Beetroot,0,1
fuel_diesel_price,6,1.0256,0.4079,FALSE,Beetroot,0,1
fuel_diesel_price,7,1.5231,0.1575,FALSE,Beetroot,0,1
fuel_diesel_price,8,1.3987,0.1949,FALSE,Beetroot,0,1
sppi_road_freight,1,1.6963,0.1935,FALSE,Beetroot,0,1
sppi_road_freight,2,1.0499,0.3509,FALSE,Beetroot,0,1
sppi_road_freight,3,0.6591,0.5777,FALSE,Beetroot,0,1
sppi_road_freight,4,0.6853,0.6025,FALSE,Beetroot,0,1
sppi_road_freight,5,1.6473,0.1465,FALSE,Beetroot,0,1
sppi_road_freight,6,1.4598,0.1908,FALSE,Beetroot,0,1
sppi_road_freight,7,1.2075,0.2974,FALSE,Beetroot,0,1
sppi_road_freight,8,1.0445,0.4019,FALSE,Beetroot,0,1
api_energy_and_lubricants,1,0.0707,0.7904,FALSE,Bulb Onions (Red),0,1
api_energy_and_lubricants,2,0.0721,0.9304,FALSE,Bulb Onions (Red),0,1
api_energy_and_lubricants,3,0.1801,0.9099,FALSE,Bulb Onions (Red),0,1
api_energy_and_lubricants,4,0.1901,0.9435,FALSE,Bulb Onions (Red),0,1
api_energy_and_lubricants,5,0.1796,0.9702,FALSE,Bulb Onions (Red),0,1
api_energy_and_lubricants,6,0.2684,0.9515,FALSE,Bulb Onions (Red),0,1
api_energy_and_lubricants,7,0.6818,0.6875,FALSE,Bulb Onions (Red),0,1
api_energy_and_lubricants,8,0.6707,0.7174,FALSE,Bulb Onions (Red),0,1
api_fertilisers_and_soil_improvers,1,0.4575,0.4992,FALSE,Bulb Onions (Red),0,1
api_fertilisers_and_soil_improvers,2,0.368,0.6924,FALSE,Bulb Onions (Red),0,1
api_fertilisers_and_soil_improvers,3,0.274,0.8442,FALSE,Bulb Onions (Red),0,1
api_fertilisers_and_soil_improvers,4,0.2251,0.9243,FALSE,Bulb Onions (Red),0,1
api_fertilisers_and_soil_improvers,5,0.4146,0.8386,FALSE,Bulb Onions (Red),0,1
