model,RMSE,MAE,MASE,sMAPE,MAPE,AIC,BIC
"Beetroot — ETS (ETS(M,N,N))",0.0905,0.0806,4.3755,10.9636,11.7237,-555.85,-543.72
"Bulb Onions (Red) — ETS (ETS(M,N,N))",0.4427,0.4252,11.2717,47.6874,65.9761,157.11,169.1
"Bulb Onions (Yellow) — ETS (ETS(M,N,N))",0.1003,0.0651,1.7836,10.9031,10.2199,90.67,102.75
"Cabbage — ETS (ETS(M,Ad,N))",0.3417,0.329,15.2905,39.4692,50.5097,-409.04,-384.75
"Carrots — ETS (ETS(M,Ad,N))",0.3091,0.2959,15.8514,43.405,57.459,-399.9,-375.74
"Cooking Apples — ETS (ETS(M,N,N))",0.4917,0.4648,6.7456,29.2414,35.1006,563.22,575.35
"Leeks — ETS (ETS(M,N,N))",0.4499,0.4269,7.1047,23.8954,27.552,606.64,618.63
"Lettuce — ETS (ETS(M,N,N))",0.0409,0.0327,1.4176,4.8138,4.7358,-276.05,-263.93
"Pears — ETS (ETS(A,N,N))",0.1756,0.1296,1.2492,11.9159,12.7713,630.9,642.11
"Dessert Apples — ETS (ETS(A,N,N))",0.0978,0.0728,1.1018,5.8261,5.7785,476.69,488.55
"Cucumbers — ETS (ETS(M,N,N))",0.3527,0.262,2.0745,22.6116,20.6205,811.38,822.6
"Strawberries — ETS (ETS(M,A,N))",7.2959,6.7646,6.8828,82.1912,170.8649,1584.85,1602.48
"Tomatoes (Round) — ETS (ETS(A,N,N))",0.4402,0.3348,1.8008,31.0602,25.3697,864.63,875.39
"Tomatoes (Vine) — ETS (ETS(M,A,N))",1.0771,0.9608,3.2735,50.6332,74.3721,911.52,928.89
"Capsicums (Red) — ETS (ETS(A,N,N))",0.6093,0.4834,2.0469,30.9324,32.3348,480.7,489.79
"Curly kale — ETS (ETS(M,N,N))",0.7617,0.7105,5.2829,15.0298,16.4733,654.43,665.3
"Pak choi — ETS (ETS(M,N,N))",0.2419,0.1623,1.2779,4.5384,4.4983,656.8,667.72
"Spring greens — ETS (ETS(M,N,N))",0.5254,0.4659,6.0562,29.3973,36.7648,398.32,409.2
