model,resid_mean,resid_sd,ljung_box_lag10_p,ljung_box_lag20_p,normality_test,normality_p,autocorr_ok,normality_ok
"Beetroot — ETS (ETS(M,N,N))",0.003165,0.05,0.245,0.4913,Shapiro-Wilk,0,TRUE,FALSE
"Bulb Onions (Red) — ETS (ETS(M,N,N))",0.007565,0.1036,0.0018,0.0554,Shapiro-Wilk,0,FALSE,FALSE
"Bulb Onions (Yellow) — ETS (ETS(M,N,N))",0.006175,0.1157,0.0705,0.2734,Shapiro-Wilk,0,TRUE,FALSE
"Cabbage — ETS (ETS(M,Ad,N))",0.003003,0.0533,0.6471,0.6247,Shapiro-Wilk,0,TRUE,FALSE
"Carrots — ETS (ETS(M,Ad,N))",0.003985,0.0619,0.0136,0.0431,Shapiro-Wilk,0,FALSE,FALSE
"Cooking Apples — ETS (ETS(M,N,N))",0.006263,0.0861,0.101,0.2722,Shapiro-Wilk,0,TRUE,FALSE
"Leeks — ETS (ETS(M,N,N))",0.005269,0.0826,0.1341,0.5733,Shapiro-Wilk,0,TRUE,FALSE
"Lettuce — ETS (ETS(M,N,N))",0.002505,0.064,0.1601,0.3772,Shapiro-Wilk,0,TRUE,FALSE
"Pears — ETS (ETS(A,N,N))",0.002046,0.1559,0.1095,0.2917,Shapiro-Wilk,0,TRUE,FALSE
"Dessert Apples — ETS (ETS(A,N,N))",0.002315,0.0937,0.0651,0.1323,Shapiro-Wilk,0,TRUE,FALSE
"Cucumbers — ETS (ETS(M,N,N))",0.012298,0.2179,0.0012,0.0269,Shapiro-Wilk,0,FALSE,FALSE
"Strawberries — ETS (ETS(M,A,N))",-0.037218,0.4105,0.0061,0.0024,Shapiro-Wilk,0,FALSE,FALSE
"Tomatoes (Round) — ETS (ETS(A,N,N))",6.5e-5,0.3061,0.0014,0.0296,Shapiro-Wilk,0,FALSE,FALSE
"Tomatoes (Vine) — ETS (ETS(M,A,N))",-0.013995,0.3066,0.0142,0.0301,Shapiro-Wilk,0,FALSE,FALSE
"Capsicums (Red) — ETS (ETS(A,N,N))",0.003903,0.3826,0.4647,0.1773,Shapiro-Wilk,0,TRUE,FALSE
"Curly kale — ETS (ETS(M,N,N))",0.0044,0.0569,0.0339,0.0963,Shapiro-Wilk,0,FALSE,FALSE
"Pak choi — ETS (ETS(M,N,N))",0.004115,0.0677,0.1551,0.4676,Shapiro-Wilk,0,TRUE,FALSE
"Spring greens — ETS (ETS(M,N,N))",0.007933,0.0979,0.7497,0.6886,Shapiro-Wilk,0,TRUE,FALSE
