model,RMSE,MAE,MASE,sMAPE,MAPE,AIC,BIC
Beetroot — Full xreg,NA,NA,NA,NA,NA,-1858.11,-1792.54
Beetroot — Dummies only,0.073,0.0512,2.7077,6.9506,6.5422,-1851.98,-1819.19
Bulb Onions (Red) — Full xreg,NA,NA,NA,NA,NA,-968.04,-915.37
Bulb Onions (Red) — Dummies only,0.1209,0.0861,2.0673,12.1952,11.5277,-981.35,-961.09
Bulb Onions (Yellow) — Full xreg,NA,NA,NA,NA,NA,-1068.19,-1019.21
Bulb Onions (Yellow) — Dummies only,0.0563,0.0459,1.2068,8.4486,8.2135,-1082.95,-1066.62
Cabbage — Full xreg,NA,NA,NA,NA,NA,-1780.74,-1719.23
Cabbage — Dummies only,0.1245,0.0887,4.115,13.1264,11.7596,-1788.8,-1760.1
Carrots — Full xreg,NA,NA,NA,NA,NA,-1718,-1652.72
Carrots — Dummies only,0.0835,0.0642,3.3611,12.3486,11.3879,-1726.79,-1694.15
Cooking Apples — Full xreg,NA,NA,NA,NA,NA,-402.88,-353.7
Cooking Apples — Dummies only,0.0879,0.0746,1.0952,5.6329,5.4995,-417.97,-401.58
Leeks — Full xreg,NA,NA,NA,NA,NA,-559.75,-503.06
Leeks — Dummies only,0.1114,0.0821,1.3304,5.2782,5.3118,-570.64,-546.34
Lettuce — Full xreg,NA,NA,NA,NA,NA,-1718.73,-1661.38
Lettuce — Dummies only,0.0451,0.0358,1.5686,5.2351,5.2183,-1719.7,-1695.12
Pears — Full xreg,NA,NA,NA,NA,NA,-294.09,-232.88
Pears — Dummies only,0.1959,0.1479,1.4134,13.5799,14.101,-301.25,-270.65
Dessert Apples — Full xreg,NA,NA,NA,NA,NA,-779.57,-715.35
Dessert Apples — Dummies only,0.0936,0.075,1.1162,5.8372,5.6721,-777.78,-745.67
Cucumbers — Full xreg,NA,NA,NA,NA,NA,-108.88,-51.41
Cucumbers — Dummies only,0.2458,0.2224,1.7624,21.6279,23.9472,-108.58,-81.75
Strawberries — Full xreg,NA,NA,NA,NA,NA,1023.22,1081.66
Strawberries — Dummies only,1.9472,1.312,1.3521,23.2507,19.928,1021.76,1050.98
Tomatoes (Round) — Full xreg,NA,NA,NA,NA,NA,94.16,149.71
Tomatoes (Round) — Dummies only,0.2794,0.2454,1.284,22.7232,26.7147,94.89,120.82
Tomatoes (Vine) — Full xreg,NA,NA,NA,NA,NA,351.59,398.37
Tomatoes (Vine) — Dummies only,0.5898,0.4872,1.5926,31.7028,34.3574,349.53,367.52
Asparagus — Full xreg,NA,NA,NA,NA,NA,509.48,550.92
Asparagus — Dummies only,5.4014,4.5483,2.8031,33.298,30.3753,535.5,554.84
Capsicums (Red) — Full xreg,NA,NA,NA,NA,NA,136.14,178.35
Capsicums (Red) — Dummies only,0.73740000000000006,0.5111,2.1846,33.1067,35.9454,147.82,164.06
Capsicums (Green) — Full xreg,NA,NA,NA,NA,NA,91.53,127.66
Capsicums (Green) — Dummies only,0.5686,0.4373,1.7804,33.6327,27.3143,103.85,117.74
Curly kale — Full xreg,NA,NA,NA,NA,NA,-73.28,-17.72
Curly kale — Dummies only,0.2549,0.1944,1.4595,4.4336,4.3349,-86.4,-60.48
Pak choi — Full xreg,NA,NA,NA,NA,NA,-93.82,-38.06
Pak choi — Dummies only,0.1453,0.1219,0.9253,3.4318,3.4384,-100.48,-74.46
Spring greens — Full xreg,NA,NA,NA,NA,NA,-266.71,-222.22
Spring greens — Dummies only,0.3627,0.3312,4.3308,23.0131,24.477,-281.73,-266.9
