model,resid_mean,resid_sd,ljung_box_lag10_p,ljung_box_lag20_p,normality_test,normality_p,autocorr_ok,normality_ok
Beetroot — Full xreg,0.002657,0.0288,0.539,0.8146,Shapiro-Wilk,0,TRUE,FALSE
Beetroot — Dummies only,0.002367,0.0296,0.1633,0.3917,Shapiro-Wilk,0,TRUE,FALSE
Bulb Onions (Red) — Full xreg,0.001286,0.0751,0.9443,0.9946,Shapiro-Wilk,0,TRUE,FALSE
Bulb Onions (Red) — Dummies only,0.00139,0.0753,0.9162,0.9865,Shapiro-Wilk,0,TRUE,FALSE
Bulb Onions (Yellow) — Full xreg,5.31e-4,0.0695,0.3965,0.0729,Shapiro-Wilk,0,TRUE,FALSE
Bulb Onions (Yellow) — Dummies only,3.62e-4,0.0696,0.259,0.0538,Shapiro-Wilk,0,TRUE,FALSE
Cabbage — Full xreg,3.09e-4,0.0318,0.9725,0.9516,Shapiro-Wilk,0,TRUE,FALSE
Cabbage — Dummies only,2.37e-4,0.0321,0.9882,0.9764,Shapiro-Wilk,0,TRUE,FALSE
Carrots — Full xreg,4.42e-4,0.0327,0.9992,0.6759,Shapiro-Wilk,0,TRUE,FALSE
Carrots — Dummies only,2.67e-4,0.0329,0.9971,0.5748,Shapiro-Wilk,0,TRUE,FALSE
Cooking Apples — Full xreg,0.00151,0.1498,0.7282,0.8194,Shapiro-Wilk,0,TRUE,FALSE
Cooking Apples — Dummies only,0.001476,0.1499,0.7394,0.851,Shapiro-Wilk,0,TRUE,FALSE
Leeks — Full xreg,0.003209,0.1209,0.2114,0.478,Shapiro-Wilk,0,TRUE,FALSE
Leeks — Dummies only,0.003217,0.1217,0.2354,0.5046,Shapiro-Wilk,0,TRUE,FALSE
Lettuce — Full xreg,0.001019,0.0337,0.6215,0.8115,Shapiro-Wilk,0,TRUE,FALSE
Lettuce — Dummies only,0.002276,0.0343,0.5616,0.7423,Shapiro-Wilk,0,TRUE,FALSE
Pears — Full xreg,0.009172,0.1485,0.9338,0.9906,Shapiro-Wilk,0,TRUE,FALSE
Pears — Dummies only,0.009842,0.1504,0.924,0.974,Shapiro-Wilk,0,TRUE,FALSE
Dessert Apples — Full xreg,0.001521,0.0893,0.6809,0.3192,Shapiro-Wilk,0,TRUE,FALSE
Dessert Apples — Dummies only,0.007053,0.0913,0.7629,0.4528,Shapiro-Wilk,0,TRUE,FALSE
Cucumbers — Full xreg,-9.67e-4,0.1961,0.3399,0.868,Shapiro-Wilk,0,TRUE,FALSE
Cucumbers — Dummies only,0.011379,0.2006,0.6337,0.976,Shapiro-Wilk,0,TRUE,FALSE
Strawberries — Full xreg,-0.011341,1.367,0.993,0.5148,Shapiro-Wilk,0,TRUE,FALSE
Strawberries — Dummies only,0.09377,1.4054,0.9356,0.5012,Shapiro-Wilk,0,TRUE,FALSE
Tomatoes (Round) — Full xreg,-0.001148,0.2675,0.3406,0.5347,Shapiro-Wilk,0,TRUE,FALSE
Tomatoes (Round) — Dummies only,0.006216,0.2719,0.4896,0.8028,Shapiro-Wilk,0,TRUE,FALSE
Tomatoes (Vine) — Full xreg,0.019309,0.4383,0.8255,0.4708,Shapiro-Wilk,0,TRUE,FALSE
Tomatoes (Vine) — Dummies only,0.016715,0.4521,0.872,0.421,Shapiro-Wilk,0,TRUE,FALSE
Asparagus — Full xreg,0.033195,1.846,0.5123,0.2594,Shapiro-Wilk,1e-4,TRUE,FALSE
Asparagus — Dummies only,-0.02765,2.2199,0.8641,0.3374,Shapiro-Wilk,0,TRUE,FALSE
Capsicums (Red) — Full xreg,-0.014595,0.3229,0.8563,0.4788,Shapiro-Wilk,0,TRUE,FALSE
Capsicums (Red) — Dummies only,0.001128,0.3449,0.8314,0.334,Shapiro-Wilk,0,TRUE,FALSE
Capsicums (Green) — Full xreg,-0.05581,0.3134,0.8167,0.9432,Shapiro-Wilk,0,TRUE,FALSE
Capsicums (Green) — Dummies only,-0.044658,0.3557,0.9526,0.9088,Shapiro-Wilk,0,TRUE,FALSE
Curly kale — Full xreg,0.006614,0.2035,0.0924,0.1318,Shapiro-Wilk,0,TRUE,FALSE
Curly kale — Dummies only,0.00536,0.2045,0.1544,0.2129,Shapiro-Wilk,0,TRUE,FALSE
Pak choi — Full xreg,0.013206,0.1965,0.6421,0.9737,Shapiro-Wilk,0,TRUE,FALSE
Pak choi — Dummies only,0.016509,0.1994,0.5647,0.9588,Shapiro-Wilk,0,TRUE,FALSE
Spring greens — Full xreg,0.003308,0.1492,0.4578,0.6813,Shapiro-Wilk,0,TRUE,FALSE
Spring greens — Dummies only,0.003554,0.1495,0.4046,0.5967,Shapiro-Wilk,0,TRUE,FALSE
