date,forecast_price
2026-03-01,14.927480307762917
2026-03-08,13.974109020329974
2026-03-15,9.875065936689303
2026-03-22,7.176824177980337
2026-03-29,7.908166831921574
2026-04-05,2.0230049555294887
2026-04-12,19.70752925703248
2026-04-19,2.897095403127449
2026-04-26,-20.905639940081258
2026-05-03,-21.175986079010002
2026-05-10,5.412304991504469
2026-05-17,5.929607724562262
2026-05-24,-14.721320829859014
2026-05-31,-25.144151012461414
2026-06-07,-40.1810664970888
2026-06-14,-40.11454844075712
2026-06-21,-42.00379846964413
2026-06-28,-28.493577187765368
2026-07-05,-58.28927859629354
2026-07-12,-54.78492235087648
2026-07-19,-54.955158773407135
2026-07-26,-61.372886925256864
2026-08-02,-82.60541182519665
2026-08-09,-92.84058716779562
2026-08-16,-97.37894561746513
2026-08-23,-123.62030117856418
2026-08-30,-163.53794996501546
2026-09-06,-192.22739431282648
2026-09-13,-203.39963072879397
2026-09-20,-248.40029677440566
2026-09-27,-300.34069321534264
2026-10-04,-341.5172651367269
2026-10-11,-410.4012483719629
2026-10-18,-490.3167615804901
2026-10-25,-537.9969925545829
2026-11-01,-641.8794632077427
2026-11-08,-728.6034393825419
2026-11-15,-871.1790094084221
2026-11-22,-1019.1693962975328
2026-11-29,-1181.4488998700967
2026-12-06,-1376.4856379795558
2026-12-13,-1614.4256153192482
2026-12-20,-1887.620213422241
2026-12-27,-2217.5339086036333
2027-01-03,-2592.179372830409
2027-01-10,-3021.929933584923
2027-01-17,-3536.232458582302
2027-01-24,-4136.252257138196
2027-01-31,-4825.051720581094
2027-02-07,-5635.829232706266
2027-02-14,-6617.771276406596
2027-02-21,-7715.291086436055
